s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000,-9.1384488E-008
 1.0122808E+000, 4.4346730E+002, 3.0796146E+002, 2.1619180E+002, 1.5438699E+002, 8.3009192E+001, 5.8427743E+001, 3.9302890E+001, 2.6385941E+001, 2.0114102E+001, 2.0003922E+001, 2.0002868E+001, 2.0002242E+001, 6.9193597E+001, 4.9139667E+001, 3.8222003E+001, 3.0441495E+001, 2.2590867E+001, 2.1016493E+001, 2.0331242E+001, 2.0108790E+001, 2.0034452E+001, 2.0026423E+001, 2.0020755E+001, 2.0016451E+001,-5.6843419E-017, 2.7300273E-001
 2.0068274E+000, 8.0503892E+002, 8.8807128E+002, 8.6359454E+002, 7.9898432E+002, 6.4106253E+002, 5.6848265E+002, 4.9694937E+002, 4.3058577E+002, 3.2607755E+002, 2.8678447E+002, 2.6519367E+002, 2.4123790E+002, 3.2781418E+002, 3.2361952E+002, 2.8631009E+002, 2.3989113E+002, 1.6208396E+002, 1.3476633E+002, 1.1437044E+002, 9.8925839E+001, 7.8963830E+001, 7.1498506E+001, 6.5637632E+001, 5.8750351E+001,-5.6843419E-017, 1.4348212E+000
 3.0028519E+000, 8.0498440E+002, 8.7594005E+002, 8.3787449E+002, 7.7363503E+002, 6.6753073E+002, 6.2806995E+002, 5.8772059E+002, 5.5243788E+002, 4.5743650E+002, 4.0700253E+002, 3.6017430E+002, 3.1684033E+002, 5.3745328E+002, 5.6987045E+002, 5.4397752E+002, 4.9819357E+002, 4.0729603E+002, 3.6577435E+002, 3.2201120E+002, 2.8416670E+002, 2.1456727E+002, 1.8500907E+002, 1.6553108E+002, 1.4703361E+002,-5.6843419E-017, 1.6868232E+000
 4.0073060E+000, 8.3114408E+002, 9.3105569E+002, 9.5439521E+002, 9.4222131E+002, 7.9279288E+002, 6.9279921E+002, 5.9315980E+002, 5.1474845E+002, 3.9938218E+002, 3.5373237E+002, 3.1556758E+002, 2.8223577E+002, 6.3756192E+002, 6.9857762E+002, 6.9271519E+002, 6.6387685E+002, 5.5889306E+002, 5.0296544E+002, 4.4746967E+002, 3.9971399E+002, 3.1688935E+002, 2.8201699E+002, 2.5419479E+002, 2.2786686E+002,-5.6843419E-017, 1.8659115E+000
 5.0025359E+000, 7.5256663E+002, 8.3989799E+002, 8.1732742E+002, 7.6591390E+002, 6.4706148E+002, 5.9292776E+002, 5.3884872E+002, 4.7447443E+002, 3.5449439E+002, 3.1736014E+002, 2.7556159E+002, 2.4998389E+002, 6.9181481E+002, 7.5424400E+002, 7.4832151E+002, 7.1996373E+002, 6.1781226E+002, 5.5588862E+002, 4.9100141E+002, 4.3445185E+002, 3.4179570E+002, 3.0694223E+002, 2.7690096E+002, 2.5057706E+002,-5.6843419E-017, 1.7988473E+000
 6.0039365E+000, 7.4627995E+002, 7.0147095E+002, 5.8977924E+002, 4.8349137E+002, 3.3802097E+002, 2.9320573E+002, 2.5969249E+002, 2.4256633E+002, 2.1894546E+002, 2.1649041E+002, 2.0933569E+002, 2.0315065E+002, 6.9221197E+002, 7.3512245E+002, 7.1562602E+002, 6.8201308E+002, 5.8941820E+002, 5.3822832E+002, 4.8367004E+002, 4.3017406E+002, 3.3424486E+002, 2.9981532E+002, 2.6552817E+002, 2.3982238E+002,-5.6843419E-017, 1.6710630E+000
 7.0042575E+000, 7.2602534E+002, 8.0502227E+002, 7.9779901E+002, 7.4497352E+002, 6.0009569E+002, 5.3623947E+002, 4.8044081E+002, 4.3086944E+002, 3.2800047E+002, 2.7947692E+002, 2.4215206E+002, 2.1227763E+002, 6.8236582E+002, 7.4082876E+002, 7.2278057E+002, 6.7384097E+002, 5.5448200E+002, 5.0052348E+002, 4.4750761E+002, 3.9794859E+002, 3.1045831E+002, 2.7858232E+002, 2.4850715E+002, 2.2508490E+002,-5.6843419E-017, 1.8489155E+000
 8.0069581E+000, 6.4097347E+002, 7.7737785E+002, 7.7306978E+002, 7.0939106E+002, 5.2930002E+002, 4.4429271E+002, 3.8231628E+002, 3.2619387E+002, 2.5025091E+002, 2.2087805E+002, 1.9010978E+002, 1.6704797E+002, 6.6072309E+002, 7.0699891E+002, 6.9136960E+002, 6.4739961E+002, 5.3038396E+002, 4.7461988E+002, 4.2549607E+002, 3.8014208E+002, 3.0004426E+002, 2.6779820E+002, 2.3891687E+002, 2.1655829E+002,-5.6843419E-017, 1.7499532E+000
 9.0058638E+000, 7.4096591E+002, 6.8365664E+002, 6.1951066E+002, 5.8863330E+002, 5.2084617E+002, 4.6473352E+002, 4.1181771E+002, 3.5840733E+002, 2.7215339E+002, 2.4134428E+002, 2.1605642E+002, 1.9693883E+002, 6.4825801E+002, 7.1120866E+002, 7.1287762E+002, 6.8653117E+002, 5.6269885E+002, 4.9024378E+002, 4.3133438E+002, 3.7973966E+002, 2.9244656E+002, 2.5912786E+002, 2.2870980E+002, 2.0506101E+002,-5.6843419E-017, 1.6156786E+000
 1.0001044E+001, 6.9741977E+002, 7.7061720E+002, 7.5433416E+002, 7.0597832E+002, 5.6932258E+002, 5.0365234E+002, 4.5659042E+002, 4.1983095E+002, 3.6391724E+002, 3.3749864E+002, 3.1710616E+002, 2.9642431E+002, 6.6021405E+002, 6.9184124E+002, 6.7438301E+002, 6.4388680E+002, 5.4590002E+002, 4.8776212E+002, 4.3877309E+002, 3.9183950E+002, 3.1260683E+002, 2.8092681E+002, 2.5124808E+002, 2.2665338E+002,-5.6843419E-017, 1.8129581E+000
 1.1005569E+001, 8.0662041E+002, 7.8213197E+002, 7.0582213E+002, 6.2921183E+002, 5.0216242E+002, 4.4628170E+002, 3.9648647E+002, 3.5616103E+002, 3.0140669E+002, 2.7832909E+002, 2.4988789E+002, 2.2665503E+002, 6.7322261E+002, 7.1069756E+002, 6.9987614E+002, 6.6483669E+002, 5.5381475E+002, 4.9381115E+002, 4.4455488E+002, 3.9871793E+002, 3.2136262E+002, 2.8911337E+002, 2.5951938E+002, 2.3570921E+002,-5.6843419E-017, 1.9500212E+000
 1.2003548E+001, 7.8263357E+002, 8.5137178E+002, 8.2726166E+002, 7.7127359E+002, 6.4621556E+002, 5.7986733E+002, 5.0202646E+002, 4.2980781E+002, 2.8567987E+002, 2.3671330E+002, 2.0418890E+002, 1.8196776E+002, 6.8842869E+002, 7.3951851E+002, 7.2377866E+002, 6.8164535E+002, 5.6166512E+002, 4.9840198E+002, 4.3949456E+002, 3.8711107E+002, 3.0076039E+002, 2.6999057E+002, 2.4365534E+002, 2.2292555E+002,-5.6843419E-017, 1.8315244E+000
 1.3010029E+001, 6.6999707E+002, 7.1399562E+002, 6.7419127E+002, 5.8629308E+002, 3.9223889E+002, 3.0754856E+002, 2.6571447E+002, 2.3822422E+002, 2.1157895E+002, 2.0226573E+002, 1.9274599E+002, 1.8275613E+002, 6.7685482E+002, 7.1867649E+002, 7.0561845E+002, 6.6718215E+002, 5.5366016E+002, 4.9340102E+002, 4.3827153E+002, 3.8842207E+002, 3.0347452E+002, 2.7155871E+002, 2.4478995E+002, 2.2255642E+002,-5.6843419E-017, 1.6226714E+000
 1.4005516E+001, 8.7984478E+002, 9.8542840E+002, 9.3268204E+002, 8.5180486E+002, 7.0851845E+002, 6.2019027E+002, 5.1985550E+002, 4.2264780E+002, 3.0044780E+002, 2.5975620E+002, 2.2474908E+002, 1.9676963E+002, 6.9884902E+002, 7.6497175E+002, 7.5286473E+002, 7.0513884E+002, 5.7532637E+002, 4.9698946E+002, 4.2633215E+002, 3.6564434E+002, 2.7975509E+002, 2.4966077E+002, 2.2438151E+002, 2.0369415E+002,-5.6843419E-017, 1.9358572E+000
 1.5003398E+001, 7.2539401E+002, 7.1323179E+002, 6.4885859E+002, 5.8347691E+002, 4.7289063E+002, 4.3110702E+002, 3.9431912E+002, 3.6070720E+002, 2.8849054E+002, 2.6850181E+002, 2.4654736E+002, 2.3181248E+002, 7.2363906E+002, 7.5531599E+002, 7.1908431E+002, 6.6616884E+002, 5.5785940E+002, 4.9394014E+002, 4.3263223E+002, 3.7725584E+002, 2.9372310E+002, 2.6415263E+002, 2.3690565E+002, 2.1541417E+002,-5.6843419E-017, 1.6457805E+000
 1.6007594E+001, 7.4735613E+002, 7.0400307E+002, 6.3685176E+002, 5.8758662E+002, 5.4602441E+002, 5.2620713E+002, 5.0503762E+002, 4.7745238E+002, 4.2200279E+002, 3.9246033E+002, 3.6108680E+002, 3.3437289E+002, 6.9128641E+002, 7.1114627E+002, 6.8978863E+002, 6.5863335E+002, 5.8743634E+002, 5.3914079E+002, 4.8947209E+002, 4.3925559E+002, 3.5262419E+002, 3.1940717E+002, 2.8667001E+002, 2.6163382E+002,-5.6843419E-017, 1.7336222E+000
