m,kW/m
Height,HRRPUL
 3.1000000E-001, 1.8882305E+002
 3.3019417E-001, 1.1465608E+002
 3.5038835E-001, 5.6169961E+001
 3.7058252E-001, 3.7277978E+001
 3.9077670E-001, 2.9698742E+001
 4.1097087E-001, 2.5996515E+001
 4.3116505E-001, 2.3745199E+001
 4.5135922E-001, 2.2084783E+001
 4.7155340E-001, 2.0750432E+001
 4.9174757E-001, 1.9597432E+001
 5.1194175E-001, 1.8559650E+001
 5.3213592E-001, 1.7684159E+001
 5.5233010E-001, 1.6914976E+001
 5.7252427E-001, 1.6256259E+001
 5.9271845E-001, 1.5725828E+001
 6.1291262E-001, 1.5112379E+001
 6.3310680E-001, 1.4502846E+001
 6.5330097E-001, 1.4011221E+001
 6.7349515E-001, 1.3574605E+001
 6.9368932E-001, 1.3167022E+001
 7.1388350E-001, 1.2756025E+001
 7.3407767E-001, 1.2316143E+001
 7.5427184E-001, 1.1894519E+001
 7.7446602E-001, 1.1490552E+001
 7.9466019E-001, 1.1095460E+001
 8.1485437E-001, 1.0691628E+001
 8.3504854E-001, 1.0255011E+001
 8.5524272E-001, 9.7824754E+000
 8.7543689E-001, 9.3284651E+000
 8.9563107E-001, 8.9051778E+000
 9.1582524E-001, 8.4837038E+000
 9.3601942E-001, 8.0397916E+000
 9.5621359E-001, 7.5945765E+000
 9.7640777E-001, 7.1524097E+000
 9.9660194E-001, 6.7186685E+000
 1.0167961E+000, 6.2998002E+000
 1.0369903E+000, 5.8665769E+000
 1.0571845E+000, 5.4433592E+000
 1.0773786E+000, 5.0273046E+000
 1.0975728E+000, 4.6392725E+000
 1.1177670E+000, 4.2720259E+000
 1.1379612E+000, 3.9069842E+000
 1.1581553E+000, 3.5522087E+000
 1.1783495E+000, 3.2169210E+000
 1.1985437E+000, 2.9211907E+000
 1.2187379E+000, 2.6311375E+000
 1.2389320E+000, 2.3626264E+000
 1.2591262E+000, 2.1193872E+000
 1.2793204E+000, 1.8912958E+000
 1.2995146E+000, 1.6783484E+000
 1.3197087E+000, 1.4831858E+000
 1.3399029E+000, 1.3073881E+000
 1.3600971E+000, 9.9736480E-001
 1.3802913E+000, 8.7003600E-001
 1.4004854E+000, 7.6080675E-001
 1.4206796E+000, 6.6451161E-001
 1.4408738E+000, 5.8202597E-001
 1.4610680E+000, 5.1028005E-001
 1.4812621E+000, 4.4402746E-001
 1.5014563E+000, 3.8301606E-001
 1.5216505E+000, 3.2595512E-001
 1.5418447E+000, 2.7660634E-001
 1.5620388E+000, 2.3186206E-001
 1.5822330E+000, 1.9180617E-001
 1.6024272E+000, 1.5896892E-001
 1.6226214E+000, 1.3147797E-001
 1.6428155E+000, 1.0871604E-001
 1.6630097E+000, 9.0400470E-002
 1.6832039E+000, 7.5446363E-002
 1.7033981E+000, 6.3195244E-002
 1.7235922E+000, 5.3058047E-002
 1.7437864E+000, 4.4591312E-002
 1.7639806E+000, 3.7342030E-002
 1.7841748E+000, 3.1310050E-002
 1.8043689E+000, 2.5979588E-002
 1.8245631E+000, 2.1311681E-002
 1.8447573E+000, 1.7354562E-002
 1.8649515E+000, 1.3875070E-002
 1.8851456E+000, 1.1031647E-002
 1.9053398E+000, 8.7622264E-003
 1.9255340E+000, 6.9827837E-003
 1.9457282E+000, 5.6096831E-003
 1.9659223E+000, 4.4732183E-003
 1.9861165E+000, 3.5871067E-003
 2.0063107E+000, 2.8903302E-003
 2.0265049E+000, 2.3451637E-003
 2.0466990E+000, 1.8986874E-003
 2.0668932E+000, 1.5468720E-003
 2.0870874E+000, 1.2680742E-003
 2.1072816E+000, 1.0395177E-003
 2.1274757E+000, 8.6079510E-004
 2.1476699E+000, 7.1864108E-004
 2.1678641E+000, 5.9716155E-004
 2.1880583E+000, 4.9375841E-004
 2.2082524E+000, 4.0568451E-004
 2.2284466E+000, 3.3410245E-004
 2.2486408E+000, 2.7300994E-004
 2.2688350E+000, 2.2317243E-004
 2.2890291E+000, 1.8221261E-004
 2.3092233E+000, 1.4912944E-004
 2.3294175E+000, 1.2250143E-004
 2.3496117E+000, 1.0006413E-004
 2.3698058E+000, 8.5136090E-005
 2.3900000E+000, 5.2587402E-005
