m,kW/m
Height,HRRPUL
 3.4000000E-001, 4.2118947E+002
 3.8080000E-001, 2.1299807E+002
 4.2160000E-001, 1.4089919E+002
 4.6240000E-001, 1.2270534E+002
 5.0320000E-001, 1.1690622E+002
 5.4400000E-001, 1.1269051E+002
 5.8480000E-001, 1.0790746E+002
 6.2560000E-001, 1.0198775E+002
 6.6640000E-001, 9.4939254E+001
 7.0720000E-001, 8.6972741E+001
 7.4800000E-001, 7.8568283E+001
 7.8880000E-001, 6.9919732E+001
 8.2960000E-001, 6.1248751E+001
 8.7040000E-001, 5.2645242E+001
 9.1120000E-001, 4.4474201E+001
 9.5200000E-001, 3.6864132E+001
 9.9280000E-001, 3.0045817E+001
 1.0336000E+000, 2.4179168E+001
 1.0744000E+000, 1.9186056E+001
 1.1152000E+000, 1.5061617E+001
 1.1560000E+000, 1.1710705E+001
 1.1968000E+000, 9.0322363E+000
 1.2376000E+000, 6.9267302E+000
 1.2784000E+000, 5.2951185E+000
 1.3192000E+000, 4.0352974E+000
 1.3600000E+000, 2.3462271E+000
 1.4008000E+000, 1.7864434E+000
 1.4416000E+000, 1.3607261E+000
 1.4824000E+000, 1.0364834E+000
 1.5232000E+000, 7.9025504E-001
 1.5640000E+000, 6.0410244E-001
 1.6048000E+000, 4.6150598E-001
 1.6456000E+000, 3.5372387E-001
 1.6864000E+000, 2.7119784E-001
 1.7272000E+000, 2.0886014E-001
 1.7680000E+000, 1.6063687E-001
 1.8088000E+000, 1.2408724E-001
 1.8496000E+000, 9.5906115E-002
 1.8904000E+000, 7.4455831E-002
 1.9312000E+000, 5.7850644E-002
 1.9720000E+000, 4.5048885E-002
 2.0128000E+000, 3.5050591E-002
 2.0536000E+000, 2.7334639E-002
 2.0944000E+000, 2.1345924E-002
 2.1352000E+000, 1.6696860E-002
 2.1760000E+000, 1.3076658E-002
 2.2168000E+000, 1.0246054E-002
 2.2576000E+000, 8.0489735E-003
 2.2984000E+000, 6.3378107E-003
 2.3392000E+000, 4.9926813E-003
 2.3800000E+000, 3.9435248E-003
