m,kW/m
Height,HRRPUL
 3.4000000E-001, 3.7613073E+002
 4.2500000E-001, 1.9666764E+002
 5.1000000E-001, 1.2482277E+002
 5.9500000E-001, 8.9365043E+001
 6.8000000E-001, 6.5356110E+001
 7.6500000E-001, 4.6202016E+001
 8.5000000E-001, 3.1621777E+001
 9.3500000E-001, 2.1352107E+001
 1.0200000E+000, 1.4410832E+001
 1.1050000E+000, 9.7622867E+000
 1.1900000E+000, 6.6481649E+000
 1.2750000E+000, 4.5669729E+000
 1.3600000E+000, 2.2010379E+000
 1.4450000E+000, 1.5452721E+000
 1.5300000E+000, 1.0862195E+000
 1.6150000E+000, 7.6906484E-001
 1.7000000E+000, 5.4629614E-001
 1.7850000E+000, 3.9111365E-001
 1.8700000E+000, 2.8088743E-001
 1.9550000E+000, 2.0325274E-001
 2.0400000E+000, 1.4713104E-001
 2.1250000E+000, 1.0759832E-001
 2.2100000E+000, 7.8704089E-002
 2.2950000E+000, 5.8072096E-002
 2.3800000E+000, 4.2574184E-002
