s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 1.1001574E+001, 5.6409820E+002, 8.5455154E+002, 9.1529119E+002, 8.9549053E+002, 7.4247085E+002, 6.5252992E+002, 5.4319876E+002, 4.4985351E+002, 3.2100213E+002, 2.7925095E+002, 2.4533423E+002, 2.2299903E+002, 6.2599691E+002, 7.7087652E+002, 8.3094815E+002, 8.1520237E+002, 7.4755092E+002, 6.8950630E+002, 5.8443871E+002, 5.1241009E+002, 4.1327330E+002, 3.5680556E+002, 2.9517259E+002, 2.6680416E+002,-5.6843419E-017, 1.6455466E+000
 1.2004258E+001, 6.5465078E+002, 8.4737014E+002, 9.3800668E+002, 9.0519276E+002, 7.9821888E+002, 7.0948068E+002, 5.6507879E+002, 4.8347741E+002, 4.0857838E+002, 3.6320451E+002, 3.0731706E+002, 2.8249989E+002, 5.8540738E+002, 7.5239635E+002, 8.2244665E+002, 8.1653783E+002, 7.4258156E+002, 6.7378372E+002, 5.6212491E+002, 4.9279505E+002, 4.0432922E+002, 3.5365822E+002, 2.9339512E+002, 2.6431095E+002,-5.6843419E-017, 1.4652649E+000
 1.3000994E+001, 5.2856519E+002, 8.0140762E+002, 9.2665962E+002, 8.9562292E+002, 7.8000868E+002, 6.8254091E+002, 5.5749460E+002, 4.9128004E+002, 4.2193695E+002, 3.8092880E+002, 3.2334588E+002, 2.8676172E+002, 5.9128599E+002, 7.6039406E+002, 8.3896423E+002, 8.3097232E+002, 7.5703063E+002, 6.8669819E+002, 5.7256458E+002, 4.9764095E+002, 4.0420094E+002, 3.5795995E+002, 3.0235702E+002, 2.7318720E+002,-5.6843419E-017, 1.5298640E+000
 1.4000752E+001, 6.8431082E+002, 8.1141719E+002, 8.1703158E+002, 8.5167644E+002, 8.8497955E+002, 8.4120292E+002, 6.5328123E+002, 5.0782545E+002, 3.8637982E+002, 3.3234675E+002, 2.4985054E+002, 2.1176156E+002, 5.7754504E+002, 7.4519137E+002, 8.0013124E+002, 7.9741996E+002, 7.4988837E+002, 6.8919002E+002, 5.7606415E+002, 4.9728470E+002, 4.0287948E+002, 3.5469027E+002, 2.9483513E+002, 2.6653978E+002,-5.6843419E-017, 1.5825374E+000
 1.5002377E+001, 8.2239096E+002, 9.4539004E+002, 9.4557785E+002, 9.2064726E+002, 8.2384119E+002, 7.4722587E+002, 6.9324904E+002, 6.2263328E+002, 5.2093529E+002, 4.5357187E+002, 3.4506160E+002, 2.8980337E+002, 6.6574115E+002, 7.7634564E+002, 8.0575962E+002, 8.1229293E+002, 7.8465655E+002, 7.4027636E+002, 6.3518701E+002, 5.4822059E+002, 4.4772241E+002, 3.8850297E+002, 3.0379732E+002, 2.6443802E+002,-5.6843419E-017, 1.6283907E+000
 1.6003936E+001, 7.0421815E+002, 9.7504008E+002, 1.0389199E+003, 9.5783790E+002, 8.1031893E+002, 7.0080070E+002, 5.4653644E+002, 4.8307511E+002, 4.2551222E+002, 4.0351039E+002, 3.8336802E+002, 3.6181085E+002, 6.5776446E+002, 7.9524576E+002, 8.4494495E+002, 8.4129577E+002, 8.0318367E+002, 7.5190292E+002, 6.5008538E+002, 5.7432074E+002, 4.7976853E+002, 4.2344293E+002, 3.4064618E+002, 2.9787032E+002,-5.6843419E-017, 1.4887805E+000
 1.7003336E+001, 6.1791013E+002, 7.7076494E+002, 8.6482215E+002, 9.1828991E+002, 9.6858292E+002, 9.0749995E+002, 7.1244333E+002, 5.7480717E+002, 4.2710299E+002, 3.6498975E+002, 3.0890669E+002, 2.7635066E+002, 6.4302896E+002, 7.7133590E+002, 8.2701364E+002, 8.3765185E+002, 8.2503720E+002, 7.7357897E+002, 6.4725506E+002, 5.5804978E+002, 4.6034690E+002, 4.0907361E+002, 3.4289595E+002, 3.0569629E+002,-5.6843419E-017, 1.5563850E+000
 1.8001841E+001, 6.7501909E+002, 8.7761156E+002, 9.4370455E+002, 9.7598340E+002, 9.3657640E+002, 8.7287107E+002, 7.1825261E+002, 6.3490705E+002, 5.6106941E+002, 5.0020411E+002, 3.6963153E+002, 3.0467975E+002, 6.2389412E+002, 7.6844343E+002, 8.4372912E+002, 8.6851529E+002, 8.5150805E+002, 7.9928268E+002, 6.7490009E+002, 5.9151664E+002, 4.9437469E+002, 4.3702200E+002, 3.6256355E+002, 3.2013655E+002,-5.6843419E-017, 1.5771160E+000
 1.9003536E+001, 8.3398864E+002, 8.6865181E+002, 8.5185187E+002, 7.3854687E+002, 6.3736080E+002, 5.9066175E+002, 5.2063693E+002, 4.8161878E+002, 4.1736974E+002, 3.5934570E+002, 3.0841400E+002, 2.8423360E+002, 6.8724937E+002, 7.9806898E+002, 8.3234241E+002, 8.2863593E+002, 8.0019524E+002, 7.6201084E+002, 6.7228491E+002, 6.0335248E+002, 5.1501290E+002, 4.4685032E+002, 3.4952310E+002, 3.0568734E+002,-5.6843419E-017, 1.5886314E+000
 2.0002289E+001, 5.4321807E+002, 7.6725252E+002, 8.1304202E+002, 7.2482410E+002, 4.6009422E+002, 3.9100933E+002, 3.2961910E+002, 3.0359693E+002, 2.7709135E+002, 2.3096385E+002, 2.0115292E+002, 1.8413824E+002, 6.5767470E+002, 7.6625761E+002, 7.9827276E+002, 7.5512425E+002, 6.6567653E+002, 6.2431247E+002, 5.5313527E+002, 5.0635946E+002, 4.4338904E+002, 3.8669938E+002, 3.1670926E+002, 2.8318238E+002,-5.6843419E-017, 1.5717261E+000
