,0.5 m,0.7 m,0.9 m,1.1 m,1.3 m,1.5 m
0,6.3515747188,8.800229539599998,7.514869967599999,5.3225965396,4.276979395600001,3.2331462236
1,5.064011874,6.7038336568,6.7105510464,5.296416006,4.0167312144,2.6860182035999998
2,4.431467356,6.4856564672,7.6810941532,7.3419043968,6.092617402,4.3184638188
