m,kW/m
Height,HRRPUL
 4.0000000E-001, 3.9353663E+001
 4.4583333E-001, 3.8602914E+001
 4.9166667E-001, 3.8603659E+001
 5.3750000E-001, 3.8993489E+001
 5.8333333E-001, 4.0111007E+001
 6.2916667E-001, 4.0599244E+001
 6.7500000E-001, 4.1081264E+001
 7.2083333E-001, 4.1519095E+001
 7.6666667E-001, 4.1262892E+001
 8.1250000E-001, 4.0400951E+001
 8.5833333E-001, 3.9153417E+001
 9.0416667E-001, 3.6703306E+001
 9.5000000E-001, 3.4642313E+001
 9.9583333E-001, 3.2227465E+001
 1.0416667E+000, 2.8212857E+001
 1.0875000E+000, 2.5309543E+001
 1.1333333E+000, 2.2433276E+001
 1.1791667E+000, 1.9694472E+001
 1.2250000E+000, 1.5836716E+001
 1.2708333E+000, 1.3426447E+001
 1.3166667E+000, 1.1135020E+001
 1.3625000E+000, 8.1674663E+000
 1.4083333E+000, 6.4874377E+000
 1.4541667E+000, 5.0752947E+000
 1.5000000E+000, 3.4530950E+000
