s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","T01_Wall","T02_Wall","T03_Wall","T04_Wall","T05_Wall","T06_Wall","T07_Wall","T08_Wall","T09_Wall","T10_Wall","T11_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-7.3654385E-007,-3.0923933E-007,-1.6586849E-007,-9.9981871E-008,-6.5839173E-008,-4.8010604E-008,-6.4654583E-007,-2.7610590E-007,-1.5326917E-007,-9.3354409E-008,-6.1649826E-008,-4.3938061E-008
 1.0032725E+000, 2.5271883E+002, 1.3385687E+002, 2.4198991E+001, 2.0013774E+001, 2.0006828E+001, 2.0003463E+001, 2.0001672E+001, 2.0000824E+001, 2.0000406E+001, 2.0000192E+001, 2.0000111E+001, 2.0000075E+001, 3.6912405E+001, 2.3754625E+001, 2.0174448E+001, 2.0071534E+001, 2.0036569E+001, 2.0018583E+001, 2.0009200E+001, 2.0004487E+001, 2.0002198E+001, 2.0001113E+001, 2.0000592E+001, 2.0000324E+001, 2.4315726E+001, 2.2522139E+001, 2.1115768E+001, 2.0558626E+001, 2.0262244E+001, 2.0122840E+001, 2.0063401E+001, 2.0037606E+001, 2.0024482E+001, 2.0016272E+001, 2.0010589E+001, 2.9630076E+000, 1.8249121E+000, 7.7318426E-001, 3.6891611E-001, 1.6093672E-001, 7.1215453E-002, 1.8986633E+000, 1.2317489E+000, 6.2180955E-001, 3.2937027E-001, 1.7283177E-001, 9.2206806E-002
 2.0026662E+000, 6.7717443E+002, 8.7612463E+002, 7.7360339E+002, 3.7996530E+002, 1.9581325E+002, 1.1569763E+002, 8.1866751E+001, 6.4943487E+001, 5.1692221E+001, 3.8804726E+001, 3.5890727E+001, 2.9073364E+001, 2.5683700E+002, 2.7318681E+002, 1.8485672E+002, 8.4371494E+001, 5.4255163E+001, 3.4999601E+001, 2.7988792E+001, 2.4674108E+001, 2.2636962E+001, 2.1126025E+001, 2.0655985E+001, 2.0200365E+001, 4.0001919E+001, 3.9172997E+001, 3.6605297E+001, 3.1778072E+001, 2.7255543E+001, 2.4766006E+001, 2.3309392E+001, 2.2017990E+001, 2.1357944E+001, 2.0863533E+001, 2.0528488E+001, 7.8232473E+000, 8.8586758E+000, 8.4611081E+000, 6.1966859E+000, 3.9325178E+000, 2.3620380E+000, 4.7946069E+000, 5.0986055E+000, 4.7552887E+000, 3.5917603E+000, 2.3745875E+000, 1.6631831E+000
 3.0030367E+000, 9.1668848E+002, 9.6867164E+002, 7.1794543E+002, 5.1275084E+002, 2.9974641E+002, 2.6642988E+002, 2.2273165E+002, 1.6046256E+002, 1.0191113E+002, 7.9015345E+001, 6.9708448E+001, 6.8065011E+001, 5.3066094E+002, 6.1899727E+002, 4.7395747E+002, 2.5487749E+002, 1.4775779E+002, 1.0759163E+002, 8.3771801E+001, 6.0138956E+001, 4.3188003E+001, 3.4549481E+001, 3.2724764E+001, 3.1561760E+001, 5.3552681E+001, 5.5413796E+001, 5.0170676E+001, 4.0771742E+001, 3.3499596E+001, 2.9900839E+001, 2.8346157E+001, 2.6972157E+001, 2.5732498E+001, 2.4689222E+001, 2.4234357E+001, 9.8182446E+000, 1.1070626E+001, 9.1605229E+000, 6.1895243E+000, 3.7926969E+000, 2.5213565E+000, 6.0096867E+000, 6.4771178E+000, 5.4897430E+000, 3.8237772E+000, 2.5719693E+000, 2.1924767E+000
 4.0016962E+000, 7.8149260E+002, 8.8332559E+002, 8.0083078E+002, 6.9632630E+002, 5.4617811E+002, 4.1206756E+002, 2.8000509E+002, 2.1220590E+002, 1.7297910E+002, 1.4476278E+002, 1.1956910E+002, 1.0500835E+002, 6.5426082E+002, 7.7843930E+002, 6.6264421E+002, 4.5532265E+002, 2.7475081E+002, 1.9819651E+002, 1.4448890E+002, 1.0736888E+002, 7.6602061E+001, 6.0687253E+001, 5.3886903E+001, 4.9381717E+001, 6.3503577E+001, 6.7176897E+001, 5.9766380E+001, 4.7830586E+001, 3.8478253E+001, 3.3269478E+001, 3.0297676E+001, 2.8309025E+001, 2.7209525E+001, 2.6108629E+001, 2.4978553E+001, 9.7221627E+000, 1.1133797E+001, 8.9744205E+000, 6.0845369E+000, 4.1405812E+000, 2.9687211E+000, 6.8026662E+000, 7.9031446E+000, 6.5333147E+000, 4.6183423E+000, 3.0455730E+000, 2.1739249E+000
 5.0012904E+000, 9.4394996E+002, 9.8586385E+002, 6.7683195E+002, 4.2934809E+002, 2.8295201E+002, 2.0365106E+002, 1.5304930E+002, 1.2254497E+002, 1.1123475E+002, 1.0042358E+002, 1.0682329E+002, 1.0809887E+002, 7.2714764E+002, 8.0320747E+002, 6.5096008E+002, 4.7893921E+002, 3.1535387E+002, 2.3784832E+002, 1.7583511E+002, 1.3356825E+002, 1.0452173E+002, 8.7153473E+001, 7.7701457E+001, 7.1202079E+001, 7.2733891E+001, 7.8919323E+001, 7.0281727E+001, 5.3774553E+001, 4.1276153E+001, 3.5166839E+001, 3.1378932E+001, 2.9185688E+001, 2.7792010E+001, 2.6845687E+001, 2.5814481E+001, 1.0854043E+001, 1.2992816E+001, 1.1188169E+001, 7.2452385E+000, 4.3414999E+000, 3.0511116E+000, 6.2453837E+000, 7.3592453E+000, 7.0412295E+000, 5.1041966E+000, 3.5163418E+000, 2.6573303E+000
 6.0011204E+000, 8.4328938E+002, 9.7133895E+002, 7.6259793E+002, 4.8919640E+002, 3.7085015E+002, 2.9484770E+002, 2.2834565E+002, 1.9403411E+002, 1.7225814E+002, 1.5069659E+002, 1.3458260E+002, 1.0703608E+002, 7.6859168E+002, 8.4120770E+002, 6.9160413E+002, 5.0088214E+002, 3.4840191E+002, 2.6432621E+002, 1.9710157E+002, 1.5017836E+002, 1.2215741E+002, 1.0434760E+002, 9.5457615E+001, 8.4090401E+001, 7.7847971E+001, 8.4390975E+001, 7.6106208E+001, 5.9765217E+001, 4.6153568E+001, 3.8556126E+001, 3.3872992E+001, 3.0632561E+001, 2.8539726E+001, 2.7475575E+001, 2.6710919E+001, 1.0241832E+001, 1.1735346E+001, 1.0494209E+001, 7.3612637E+000, 4.7344301E+000, 3.2808989E+000, 6.3169625E+000, 7.0671995E+000, 6.3282613E+000, 4.5801400E+000, 3.0822433E+000, 2.1881534E+000
 7.0003877E+000, 8.0655695E+002, 9.4439958E+002, 7.4348239E+002, 5.8617940E+002, 4.1182319E+002, 2.6348740E+002, 1.9100565E+002, 1.6396091E+002, 1.2180482E+002, 1.1111276E+002, 1.1092121E+002, 9.7166618E+001, 7.6039552E+002, 8.4658407E+002, 7.0968495E+002, 5.3889767E+002, 3.7520137E+002, 2.7644304E+002, 1.9893639E+002, 1.5828438E+002, 1.3195504E+002, 1.1486391E+002, 1.0496678E+002, 8.9363466E+001, 8.2872147E+001, 9.0473021E+001, 8.0087873E+001, 6.0693969E+001, 4.5936370E+001, 3.8369300E+001, 3.4438097E+001, 3.1213286E+001, 2.9368503E+001, 2.8075225E+001, 2.6998296E+001, 1.0433834E+001, 1.2367491E+001, 1.0491545E+001, 6.6785183E+000, 3.9111610E+000, 2.7632039E+000, 6.2965097E+000, 7.0785739E+000, 6.0417318E+000, 4.0235148E+000, 2.5773588E+000, 1.8641681E+000
 8.0047040E+000, 8.2272130E+002, 8.7302508E+002, 6.9506689E+002, 4.5236538E+002, 2.9346807E+002, 2.2917502E+002, 1.8625754E+002, 1.6800983E+002, 1.3258359E+002, 1.0241190E+002, 7.9719717E+001, 7.2487103E+001, 7.5767817E+002, 8.4588505E+002, 7.3695484E+002, 5.6146969E+002, 3.8310065E+002, 2.7091072E+002, 1.9808388E+002, 1.6497883E+002, 1.3094881E+002, 1.1014367E+002, 1.0066120E+002, 8.8471123E+001, 8.9657167E+001, 9.8265407E+001, 8.7442610E+001, 6.6177483E+001, 4.9284853E+001, 4.0163281E+001, 3.5369271E+001, 3.2430101E+001, 3.0333948E+001, 2.8840997E+001, 2.7804976E+001, 1.0896107E+001, 1.2346690E+001, 1.0633181E+001, 7.4271404E+000, 4.7457097E+000, 3.1323343E+000, 7.0335159E+000, 8.2082513E+000, 7.3342172E+000, 5.1097636E+000, 3.1289787E+000, 1.9151971E+000
