,CL_RI=05,CL_RI=10,CL_RI=20,EDGE_RI=05,EDGE_RI=10,EDGE_RI=20
GHF1_Wall_0p5,2.78412761,1.857824602,1.299993612,2.390529161,2.032021141,2.078387142
GHF2_Wall_0p7,3.465983295,2.406542834,1.889559963,2.862954382,2.461538641,2.651520443
GHF3_Wall_0p9,3.095631494,2.378727518,2.154761481,2.597535625,2.434519434,2.831424901
GHF4_Wall_1p1,2.227857974,2.035785671,2.040753951,1.949652979,2.17789547,2.754852736
GHF5_Wall_1p3,1.731023562,1.625774216,1.709941206,1.565081936,1.833820662,2.338408854
GHF6_Wall_1p5,1.171395755,1.081661291,1.224641397,1.109127697,1.327930644,1.757995463
