,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m,2.4 m
0,739.0465211600001,680.3282216799997,497.1287117200002,390.22987232,278.6687444,229.25002115999993,179.45196688,156.50792252000005,130.5078262399999,116.91682352000005,101.1431463360001,93.22693371199999
1,767.30442532,818.65882312,680.0683009599999,492.9202830400002,347.43046179999993,257.2515453599998,198.66194384000002,160.41496107999993,133.9849534399999,114.83097964000005,99.96654950000003,88.72696976399996
2,,,,,,,,,,,,
