m,kW/m
Height,HRRPUL
 4.0000000E-001, 1.7878860E+002
 4.4583333E-001, 1.7878860E+002
 4.9166667E-001, 1.1240648E+002
 5.3750000E-001, 1.1240648E+002
 5.8333333E-001, 8.5606577E+001
 6.2916667E-001, 8.5606577E+001
 6.7500000E-001, 6.6955827E+001
 7.2083333E-001, 5.0151523E+001
 7.6666667E-001, 5.0151523E+001
 8.1250000E-001, 3.5726711E+001
 8.5833333E-001, 3.5726711E+001
 9.0416667E-001, 2.4769897E+001
 9.5000000E-001, 2.4769897E+001
 9.9583333E-001, 1.6961186E+001
 1.0416667E+000, 1.1650144E+001
 1.0875000E+000, 1.1650144E+001
 1.1333333E+000, 8.0148276E+000
 1.1791667E+000, 8.0148276E+000
 1.2250000E+000, 5.5478460E+000
 1.2708333E+000, 5.5478460E+000
 1.3166667E+000, 3.8546821E+000
 1.3625000E+000, 2.6932600E+000
 1.4083333E+000, 2.6932600E+000
 1.4541667E+000, 1.8802200E+000
 1.5000000E+000, 1.8802200E+000
