s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","TC01_Wall","TC02_Wall","TC03_Wall","TC04_Wall","TC05_Wall","TC06_Wall","TC07_Wall","TC08_Wall","TC09_Wall","TC10_Wall","Temp_TC01_Wall","Temp_TC02_Wall","Temp_TC03_Wall","Temp_TC04_Wall","Temp_TC05_Wall","Temp_TC06_Wall","Temp_TC07_Wall","Temp_TC08_Wall","Temp_TC09_Wall","Temp_TC10_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R","HF1","GHF1"
 6.5009473E+001, 7.8164518E+002, 9.2843547E+002, 8.9253122E+002, 7.7780520E+002, 5.8734677E+002, 5.2009698E+002, 4.6264317E+002, 4.1850566E+002, 5.8734677E+002, 5.2009698E+002, 4.6264317E+002, 4.1850566E+002, 7.0552774E+002, 7.6311228E+002, 7.4414744E+002, 6.9640249E+002, 5.7279070E+002, 5.0731932E+002, 4.4975516E+002, 3.9701959E+002, 5.7279070E+002, 5.0731932E+002, 4.4975516E+002, 3.9701959E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.9192672E+001, 7.7912970E+001, 6.3919315E+001, 5.4482757E+001, 4.3319399E+001, 3.7874072E+001, 3.2006044E+001, 2.9198377E+001, 2.6156533E+001, 2.4839900E+001, 3.5113530E+000, 3.5501018E+000, 2.7839748E+000, 2.2154258E+000, 1.4560619E+000, 1.0982196E+000, 2.7687996E+000, 2.8050049E+000, 2.2531281E+000, 1.8554316E+000, 1.3126277E+000, 1.0168814E+000, 1.0252512E+000, 1.0217135E+000
 6.6008603E+001, 7.2972504E+002, 9.4873350E+002, 1.0119325E+003, 9.4176567E+002, 6.5620925E+002, 5.3175202E+002, 4.2393599E+002, 3.3795706E+002, 6.5620925E+002, 5.3175202E+002, 4.2393599E+002, 3.3795706E+002, 6.8104643E+002, 7.8700400E+002, 7.9103976E+002, 7.3574257E+002, 5.9016253E+002, 5.2455861E+002, 4.6619961E+002, 4.1367028E+002, 5.9016253E+002, 5.2455861E+002, 4.6619961E+002, 4.1367028E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.9645934E+001, 7.8117955E+001, 6.3906461E+001, 5.4533265E+001, 4.3387448E+001, 3.7935540E+001, 3.2057314E+001, 2.9243714E+001, 2.6246500E+001, 2.4929408E+001, 3.7150116E+000, 3.5483053E+000, 2.5475235E+000, 1.9856406E+000, 1.3196641E+000, 1.0008843E+000, 3.0380288E+000, 2.9512195E+000, 2.2282840E+000, 1.8016428E+000, 1.2729961E+000, 9.8835019E-001, 8.7984595E-001, 8.7685494E-001
 6.7002786E+001, 8.4676632E+002, 7.8811025E+002, 6.5300691E+002, 5.4481069E+002, 4.2454913E+002, 3.7458498E+002, 3.4647547E+002, 3.2641509E+002, 4.2454913E+002, 3.7458498E+002, 3.4647547E+002, 3.2641509E+002, 7.1818092E+002, 7.7935810E+002, 7.7261661E+002, 7.1833562E+002, 5.7796134E+002, 5.0884043E+002, 4.4766563E+002, 3.9552613E+002, 5.7796134E+002, 5.0884043E+002, 4.4766563E+002, 3.9552613E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.0383194E+001, 7.8566266E+001, 6.4066329E+001, 5.4556565E+001, 4.3459406E+001, 3.8009262E+001, 3.2092797E+001, 2.9289565E+001, 2.6446880E+001, 2.5291451E+001, 3.5721400E+000, 3.3109377E+000, 2.3636458E+000, 1.8238368E+000, 1.2435897E+000, 9.4844649E-001, 3.1552433E+000, 2.9400110E+000, 2.1418999E+000, 1.6848343E+000, 1.1801582E+000, 9.3152530E-001, 9.3579774E-001, 9.3263208E-001
 6.8001581E+001, 6.6545473E+002, 7.6154503E+002, 8.0535850E+002, 7.8863580E+002, 6.1770222E+002, 5.2603921E+002, 4.4176911E+002, 3.9053975E+002, 6.1770222E+002, 5.2603921E+002, 4.4176911E+002, 3.9053975E+002, 6.8380550E+002, 7.6205355E+002, 7.6311286E+002, 7.1233830E+002, 5.5114817E+002, 4.7729605E+002, 4.1592012E+002, 3.7031554E+002, 5.5114817E+002, 4.7729605E+002, 4.1592012E+002, 3.7031554E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.1058339E+001, 7.9506806E+001, 6.4656011E+001, 5.4948305E+001, 4.3654089E+001, 3.8084751E+001, 3.2111329E+001, 2.9297422E+001, 2.6453404E+001, 2.5295637E+001, 3.8009665E+000, 3.7821728E+000, 2.7474107E+000, 2.1065277E+000, 1.3970011E+000, 1.0438842E+000, 3.0551308E+000, 3.0871935E+000, 2.3723180E+000, 1.8782366E+000, 1.3248874E+000, 1.0312864E+000, 9.7116985E-001, 9.6787334E-001
 6.9004584E+001, 6.9930850E+002, 7.4970122E+002, 6.8288617E+002, 6.0097597E+002, 4.6160656E+002, 4.0887979E+002, 3.6924317E+002, 3.2126170E+002, 4.6160656E+002, 4.0887979E+002, 3.6924317E+002, 3.2126170E+002, 6.6878866E+002, 7.0916099E+002, 6.9907021E+002, 6.6334870E+002, 5.3638689E+002, 4.6837016E+002, 4.1188433E+002, 3.6950937E+002, 5.3638689E+002, 4.6837016E+002, 4.1188433E+002, 3.6950937E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.0841819E+001, 7.9112977E+001, 6.4623167E+001, 5.5011480E+001, 4.3673372E+001, 3.8086903E+001, 3.2081866E+001, 2.9231244E+001, 2.6309383E+001, 2.5100128E+001, 3.5340945E+000, 3.4432106E+000, 2.6980538E+000, 2.1424292E+000, 1.4048970E+000, 1.0260878E+000, 2.8860964E+000, 2.8082506E+000, 2.2725637E+000, 1.8719045E+000, 1.2797063E+000, 9.6115930E-001, 9.4875116E-001, 9.4553864E-001
 7.0005698E+001, 8.6277013E+002, 9.0666933E+002, 8.8645002E+002, 8.0793075E+002, 6.2820508E+002, 5.6402421E+002, 5.0711871E+002, 4.5507057E+002, 6.2820508E+002, 5.6402421E+002, 5.0711871E+002, 4.5507057E+002, 7.2023713E+002, 7.6451183E+002, 7.5480364E+002, 7.1902441E+002, 5.9966572E+002, 5.3099915E+002, 4.6851258E+002, 4.1055876E+002, 5.9966572E+002, 5.3099915E+002, 4.6851258E+002, 4.1055876E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.1368611E+001, 7.9491280E+001, 6.4812944E+001, 5.5169474E+001, 4.3763061E+001, 3.8150861E+001, 3.2106772E+001, 2.9224370E+001, 2.6223272E+001, 2.4976303E+001, 3.4967193E+000, 3.2200914E+000, 2.2494512E+000, 1.7271196E+000, 1.1408151E+000, 8.7107354E-001, 2.7653968E+000, 2.5900399E+000, 1.9013837E+000, 1.5350673E+000, 1.0882339E+000, 8.6056725E-001, 8.8546325E-001, 8.8246554E-001
 7.1000249E+001, 9.1278758E+002, 9.9066866E+002, 9.1302890E+002, 7.5973039E+002, 4.7416775E+002, 3.6971104E+002, 2.8735419E+002, 2.5027168E+002, 4.7416775E+002, 3.6971104E+002, 2.8735419E+002, 2.5027168E+002, 7.3817644E+002, 7.9512288E+002, 7.7498536E+002, 7.1096257E+002, 5.5640474E+002, 4.9130708E+002, 4.2887682E+002, 3.7943956E+002, 5.5640474E+002, 4.9130708E+002, 4.2887682E+002, 3.7943956E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.2381288E+001, 8.0135277E+001, 6.5014495E+001, 5.5336568E+001, 4.3896176E+001, 3.8250018E+001, 3.2165237E+001, 2.9262774E+001, 2.6227197E+001, 2.4995976E+001, 4.0822922E+000, 3.7337960E+000, 2.6030136E+000, 2.0300396E+000, 1.3398244E+000, 9.9506396E-001, 3.3714059E+000, 3.1470419E+000, 2.2127340E+000, 1.7552980E+000, 1.2325820E+000, 9.4849092E-001, 9.3659497E-001, 9.3337005E-001
 7.2010409E+001, 7.2368624E+002, 7.4615239E+002, 6.9328685E+002, 6.1534501E+002, 4.4401474E+002, 3.7311854E+002, 3.2165141E+002, 2.7065152E+002, 4.4401474E+002, 3.7311854E+002, 3.2165141E+002, 2.7065152E+002, 7.4654551E+002, 7.8048247E+002, 7.4340627E+002, 6.6762094E+002, 5.1021259E+002, 4.4515995E+002, 3.8740030E+002, 3.4155945E+002, 5.1021259E+002, 4.4515995E+002, 3.8740030E+002, 3.4155945E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.1974632E+001, 7.9453074E+001, 6.4459720E+001, 5.4961293E+001, 4.3636217E+001, 3.8033627E+001, 3.2054010E+001, 2.9195779E+001, 2.6196632E+001, 2.4986487E+001, 3.1033377E+000, 2.8599146E+000, 2.0605314E+000, 1.6180497E+000, 1.0890735E+000, 8.2243022E-001, 2.7311179E+000, 2.5715520E+000, 1.9129191E+000, 1.5308527E+000, 1.0678253E+000, 8.2303130E-001, 8.8842033E-001, 8.8538712E-001
 7.3008732E+001, 8.1846848E+002, 9.2483821E+002, 9.4418639E+002, 8.8976545E+002, 6.6585457E+002, 5.5616535E+002, 4.5162183E+002, 3.6788154E+002, 6.6585457E+002, 5.5616535E+002, 4.5162183E+002, 3.6788154E+002, 7.1463645E+002, 7.9543450E+002, 7.9606203E+002, 7.4293073E+002, 5.5992656E+002, 4.7802095E+002, 4.0151990E+002, 3.3954421E+002, 5.5992656E+002, 4.7802095E+002, 4.0151990E+002, 3.3954421E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.2521429E+001, 8.0189621E+001, 6.4996217E+001, 5.5308413E+001, 4.3904180E+001, 3.8239136E+001, 3.2179741E+001, 2.9292944E+001, 2.6313208E+001, 2.5199967E+001, 3.8395149E+000, 3.5848901E+000, 2.5510536E+000, 1.9668541E+000, 1.3110257E+000, 9.8592479E-001, 3.2982910E+000, 3.1432609E+000, 2.3082554E+000, 1.8520953E+000, 1.3092591E+000, 1.0150137E+000, 8.8758548E-001, 8.8453914E-001
 7.4009723E+001, 8.7304082E+002, 8.7336759E+002, 7.5890274E+002, 6.4863843E+002, 4.9765217E+002, 4.5074300E+002, 4.0208945E+002, 3.6547628E+002, 4.9765217E+002, 4.5074300E+002, 4.0208945E+002, 3.6547628E+002, 7.6223436E+002, 7.9650749E+002, 7.6579127E+002, 7.0843110E+002, 5.4999033E+002, 4.7865933E+002, 4.0997204E+002, 3.5192007E+002, 5.4999033E+002, 4.7865933E+002, 4.0997204E+002, 3.5192007E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.3375895E+001, 8.0961593E+001, 6.5528871E+001, 5.5623892E+001, 4.4022827E+001, 3.8347184E+001, 3.2229188E+001, 2.9311120E+001, 2.6298534E+001, 2.5116572E+001, 3.6267325E+000, 3.4775350E+000, 2.5301407E+000, 1.9348559E+000, 1.2786561E+000, 9.7129504E-001, 2.9317135E+000, 2.8677288E+000, 2.2024817E+000, 1.7496588E+000, 1.2114269E+000, 9.5137116E-001, 9.1133916E-001, 9.0823223E-001
 7.5003361E+001, 7.5585158E+002, 8.3894721E+002, 7.8287925E+002, 6.9622680E+002, 5.1073015E+002, 4.2794077E+002, 3.6052765E+002, 3.0455067E+002, 5.1073015E+002, 4.2794077E+002, 3.6052765E+002, 3.0455067E+002, 7.3775466E+002, 7.6974777E+002, 7.2922703E+002, 6.6824228E+002, 5.2101733E+002, 4.5664873E+002, 3.9580988E+002, 3.4361837E+002, 5.2101733E+002, 4.5664873E+002, 3.9580988E+002, 3.4361837E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.3184992E+001, 8.0822003E+001, 6.5399701E+001, 5.5431196E+001, 4.3964535E+001, 3.8339671E+001, 3.2246737E+001, 2.9315941E+001, 2.6273171E+001, 2.5125640E+001, 3.5269983E+000, 3.3637489E+000, 2.4127080E+000, 1.7846699E+000, 1.1820963E+000, 9.0251564E-001, 2.8043749E+000, 2.6722278E+000, 1.9965476E+000, 1.5571785E+000, 1.0761381E+000, 8.4639939E-001, 8.8461666E-001, 8.8161094E-001
 7.6000864E+001, 9.0567561E+002, 1.0061839E+003, 1.0184751E+003, 9.4636003E+002, 7.2595360E+002, 5.9874281E+002, 4.9352871E+002, 3.9558914E+002, 7.2595360E+002, 5.9874281E+002, 4.9352871E+002, 3.9558914E+002, 7.3479684E+002, 8.1253935E+002, 8.0968946E+002, 7.5901372E+002, 5.9296816E+002, 5.0312377E+002, 4.2572320E+002, 3.6189646E+002, 5.9296816E+002, 5.0312377E+002, 4.2572320E+002, 3.6189646E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4376616E+001, 8.2165055E+001, 6.6523005E+001, 5.6341079E+001, 4.4516178E+001, 3.8684932E+001, 3.2407291E+001, 2.9417985E+001, 2.6288920E+001, 2.5062352E+001, 4.1083230E+000, 4.0254236E+000, 2.9822961E+000, 2.2982216E+000, 1.5163290E+000, 1.1354945E+000, 3.2724668E+000, 3.2057416E+000, 2.4773740E+000, 1.9777660E+000, 1.3888773E+000, 1.0822314E+000, 1.0381134E+000, 1.0345498E+000
 7.7007252E+001, 6.9022102E+002, 8.0647378E+002, 7.9876189E+002, 7.6544647E+002, 6.6540361E+002, 5.9616530E+002, 5.3532740E+002, 4.7007057E+002, 6.6540361E+002, 5.9616530E+002, 5.3532740E+002, 4.7007057E+002, 7.4734406E+002, 8.1065876E+002, 8.0687917E+002, 7.6413364E+002, 6.2051657E+002, 5.3491596E+002, 4.5880527E+002, 3.8573367E+002, 6.2051657E+002, 5.3491596E+002, 4.5880527E+002, 3.8573367E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4476532E+001, 8.1964811E+001, 6.6421322E+001, 5.6382293E+001, 4.4652931E+001, 3.8839574E+001, 3.2590251E+001, 2.9605362E+001, 2.6499558E+001, 2.5314787E+001, 3.4506254E+000, 3.1755296E+000, 2.3480942E+000, 1.8493059E+000, 1.2438763E+000, 9.4930550E-001, 2.8134491E+000, 2.6350478E+000, 2.0304015E+000, 1.6752316E+000, 1.1786508E+000, 9.1854016E-001, 8.1902894E-001, 8.1626592E-001
 7.8002187E+001, 8.4334777E+002, 8.6966862E+002, 8.3108372E+002, 7.4722226E+002, 5.6675192E+002, 4.8855839E+002, 4.2302033E+002, 3.6672735E+002, 5.6675192E+002, 4.8855839E+002, 4.2302033E+002, 3.6672735E+002, 7.3309790E+002, 8.0598241E+002, 7.9998499E+002, 7.5711948E+002, 6.2305908E+002, 5.4507872E+002, 4.7524713E+002, 4.0993389E+002, 6.2305908E+002, 5.4507872E+002, 4.7524713E+002, 4.0993389E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4771753E+001, 8.2254076E+001, 6.6503629E+001, 5.6438091E+001, 4.4698309E+001, 3.8874909E+001, 3.2583123E+001, 2.9571445E+001, 2.6469290E+001, 2.5296780E+001, 3.6975945E+000, 3.4739983E+000, 2.4290659E+000, 1.8634114E+000, 1.2676339E+000, 9.7548931E-001, 3.0467534E+000, 2.9055455E+000, 2.1327274E+000, 1.6940279E+000, 1.2188039E+000, 9.7291900E-001, 9.2801229E-001, 9.2484288E-001
 7.9008189E+001, 6.0329028E+002, 7.9001722E+002, 7.6291158E+002, 6.4217948E+002, 3.7637709E+002, 2.8507719E+002, 2.3205614E+002, 2.0195613E+002, 3.7637709E+002, 2.8507719E+002, 2.3205614E+002, 2.0195613E+002, 6.8034052E+002, 7.5301236E+002, 7.4122984E+002, 6.8528708E+002, 5.3871415E+002, 4.6787472E+002, 4.0801204E+002, 3.5532426E+002, 5.3871415E+002, 4.6787472E+002, 4.0801204E+002, 3.5532426E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4423400E+001, 8.2110984E+001, 6.6473279E+001, 5.6311221E+001, 4.4626947E+001, 3.8852122E+001, 3.2592393E+001, 2.9627787E+001, 2.6525567E+001, 2.5299012E+001, 3.4037121E+000, 3.3218961E+000, 2.4893376E+000, 1.8958262E+000, 1.2930370E+000, 9.9266749E-001, 3.1618244E+000, 3.1078883E+000, 2.4123243E+000, 1.8713397E+000, 1.2686228E+000, 9.8452573E-001, 9.3492643E-001, 9.3169463E-001
 8.0004367E+001, 7.9150841E+002, 8.0964648E+002, 7.4931346E+002, 6.8625784E+002, 5.6936746E+002, 5.0791138E+002, 4.4607101E+002, 3.8114996E+002, 5.6936746E+002, 5.0791138E+002, 4.4607101E+002, 3.8114996E+002, 6.6883159E+002, 7.4253079E+002, 7.3027488E+002, 6.7978516E+002, 5.3626202E+002, 4.6423183E+002, 4.0095044E+002, 3.4386651E+002, 5.3626202E+002, 4.6423183E+002, 4.0095044E+002, 3.4386651E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4470470E+001, 8.2138438E+001, 6.6723951E+001, 5.6610460E+001, 4.4866081E+001, 3.9034927E+001, 3.2698273E+001, 2.9675149E+001, 2.6494987E+001, 2.5213882E+001, 3.4994072E+000, 3.3276570E+000, 2.4709076E+000, 1.8848578E+000, 1.2603643E+000, 9.7315917E-001, 2.8371650E+000, 2.7141573E+000, 2.0986242E+000, 1.6755499E+000, 1.1788365E+000, 9.3888081E-001, 1.0116855E+000, 1.0081899E+000
 8.1006493E+001, 7.3491117E+002, 7.3746457E+002, 6.8752237E+002, 6.2420180E+002, 4.4972374E+002, 3.9471159E+002, 3.5649287E+002, 3.2182801E+002, 4.4972374E+002, 3.9471159E+002, 3.5649287E+002, 3.2182801E+002, 6.9408524E+002, 7.1618130E+002, 6.7627655E+002, 6.2204151E+002, 4.9283431E+002, 4.3471634E+002, 3.8346389E+002, 3.3653586E+002, 4.9283431E+002, 4.3471634E+002, 3.8346389E+002, 3.3653586E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.5013336E+001, 8.2829755E+001, 6.7150156E+001, 5.6852501E+001, 4.5080667E+001, 3.9252993E+001, 3.2841946E+001, 2.9743299E+001, 2.6506453E+001, 2.5215952E+001, 3.4384890E+000, 3.3769638E+000, 2.4840434E+000, 1.9119028E+000, 1.3207570E+000, 1.0344013E+000, 2.8203835E+000, 2.7897213E+000, 2.1343754E+000, 1.6878042E+000, 1.1889612E+000, 9.4765084E-001, 9.4280699E-001, 9.3957144E-001
 8.2009234E+001, 8.8208994E+002, 8.2867205E+002, 6.8707402E+002, 5.8316892E+002, 4.5165124E+002, 3.8544095E+002, 3.4173527E+002, 3.1271532E+002, 4.5165124E+002, 3.8544095E+002, 3.4173527E+002, 3.1271532E+002, 7.2421116E+002, 7.5425983E+002, 7.2260889E+002, 6.7607900E+002, 5.2708121E+002, 4.5478267E+002, 3.9989781E+002, 3.5442410E+002, 5.2708121E+002, 4.5478267E+002, 3.9989781E+002, 3.5442410E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6012861E+001, 8.3613365E+001, 6.7613437E+001, 5.7129336E+001, 4.5109396E+001, 3.9244465E+001, 3.2853752E+001, 2.9772909E+001, 2.6571402E+001, 2.5298861E+001, 3.8461275E+000, 3.5945313E+000, 2.5482485E+000, 1.9226335E+000, 1.2327293E+000, 9.2789150E-001, 3.3942174E+000, 3.1729001E+000, 2.3184560E+000, 1.8237970E+000, 1.2234587E+000, 9.3000649E-001, 9.1353163E-001, 9.1041765E-001
 8.3004874E+001, 8.6161344E+002, 8.5029038E+002, 7.3279124E+002, 6.2517463E+002, 4.3464170E+002, 3.7083571E+002, 3.0700728E+002, 2.5673865E+002, 4.3464170E+002, 3.7083571E+002, 3.0700728E+002, 2.5673865E+002, 7.4889576E+002, 7.4930970E+002, 6.8370186E+002, 6.1951226E+002, 4.7723038E+002, 4.1241976E+002, 3.6062527E+002, 3.1848787E+002, 4.7723038E+002, 4.1241976E+002, 3.6062527E+002, 3.1848787E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.5810354E+001, 8.3334293E+001, 6.7276869E+001, 5.6992993E+001, 4.5083162E+001, 3.9217360E+001, 3.2813227E+001, 2.9710296E+001, 2.6474064E+001, 2.5235566E+001, 3.3648167E+000, 3.1999036E+000, 2.3176951E+000, 1.8187918E+000, 1.2295530E+000, 9.3958766E-001, 2.7097270E+000, 2.5856919E+000, 1.9612003E+000, 1.5768309E+000, 1.1274646E+000, 8.9187513E-001, 9.5335386E-001, 9.5007156E-001
 8.4007608E+001, 7.7434063E+002, 9.7212623E+002, 1.0187121E+003, 9.4829078E+002, 5.8477815E+002, 4.5628088E+002, 3.6436347E+002, 3.0281769E+002, 5.8477815E+002, 4.5628088E+002, 3.6436347E+002, 3.0281769E+002, 7.2570281E+002, 7.8427327E+002, 7.5440073E+002, 6.8652287E+002, 4.9766376E+002, 4.2757290E+002, 3.7245624E+002, 3.2767467E+002, 4.9766376E+002, 4.2757290E+002, 3.7245624E+002, 3.2767467E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6485799E+001, 8.4418017E+001, 6.8124912E+001, 5.7586327E+001, 4.5487076E+001, 3.9482130E+001, 3.2965425E+001, 2.9854159E+001, 2.6600499E+001, 2.5333663E+001, 3.8991526E+000, 3.9456706E+000, 2.8878102E+000, 2.2042059E+000, 1.4745119E+000, 1.0999924E+000, 3.2558188E+000, 3.2619563E+000, 2.4993759E+000, 1.9664312E+000, 1.4017026E+000, 1.0965205E+000, 1.0024705E+000, 9.9898643E-001
 8.5006812E+001, 7.1385091E+002, 7.8245851E+002, 7.4665786E+002, 6.8392390E+002, 5.2920374E+002, 4.4803023E+002, 3.7818562E+002, 3.2185104E+002, 5.2920374E+002, 4.4803023E+002, 3.7818562E+002, 3.2185104E+002, 7.1123067E+002, 7.7992409E+002, 7.6335936E+002, 7.0818622E+002, 5.0899834E+002, 4.3025777E+002, 3.6805438E+002, 3.2026801E+002, 5.0899834E+002, 4.3025777E+002, 3.6805438E+002, 3.2026801E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6496307E+001, 8.4047697E+001, 6.7776596E+001, 5.7408823E+001, 4.5424247E+001, 3.9472845E+001, 3.3020561E+001, 2.9912691E+001, 2.6655290E+001, 2.5346247E+001, 3.5575006E+000, 3.2912658E+000, 2.2706229E+000, 1.7386812E+000, 1.1677299E+000, 9.0047808E-001, 2.9006541E+000, 2.7028710E+000, 1.9581616E+000, 1.5563057E+000, 1.1030054E+000, 8.7175969E-001, 9.5708778E-001, 9.5380630E-001
 8.6002944E+001, 8.2945860E+002, 8.6413933E+002, 7.6399195E+002, 6.1610145E+002, 3.8174815E+002, 3.0476765E+002, 2.5492112E+002, 2.1660717E+002, 3.8174815E+002, 3.0476765E+002, 2.5492112E+002, 2.1660717E+002, 7.2868339E+002, 7.7239787E+002, 7.3143608E+002, 6.6300848E+002, 4.8957813E+002, 4.1550665E+002, 3.5561574E+002, 3.0652375E+002, 4.8957813E+002, 4.1550665E+002, 3.5561574E+002, 3.0652375E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.7193944E+001, 8.4533581E+001, 6.8050092E+001, 5.7530451E+001, 4.5476186E+001, 3.9487665E+001, 3.2968173E+001, 2.9837897E+001, 2.6615448E+001, 2.5305320E+001, 3.5993780E+000, 3.3159623E+000, 2.4103318E+000, 1.8594013E+000, 1.2464013E+000, 9.4652098E-001, 3.0662055E+000, 2.8085262E+000, 2.1318222E+000, 1.7062275E+000, 1.1846954E+000, 9.2263291E-001, 9.2160048E-001, 9.1846758E-001
