s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","TC01_Wall","TC02_Wall","TC03_Wall","TC04_Wall","TC05_Wall","TC06_Wall","TC07_Wall","TC08_Wall","TC09_Wall","TC10_Wall","Temp_TC01_Wall","Temp_TC02_Wall","Temp_TC03_Wall","Temp_TC04_Wall","Temp_TC05_Wall","Temp_TC06_Wall","Temp_TC07_Wall","Temp_TC08_Wall","Temp_TC09_Wall","Temp_TC10_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R","HF1","GHF1"
 9.0014379E+000, 7.0315393E+002, 8.2124285E+002, 8.1259052E+002, 7.4735687E+002, 6.0088205E+002, 5.3295925E+002, 4.7608498E+002, 4.2802300E+002, 6.0088205E+002, 5.3295925E+002, 4.7608498E+002, 4.2802300E+002, 7.0422065E+002, 7.8755413E+002, 7.8607323E+002, 7.4211883E+002, 6.1849323E+002, 5.5228551E+002, 4.8545601E+002, 4.2820227E+002, 6.1849323E+002, 5.5228551E+002, 4.8545601E+002, 4.2820227E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.1779251E+001, 4.1476668E+001, 3.6558187E+001, 3.2958110E+001, 2.8714313E+001, 2.6668531E+001, 2.4388134E+001, 2.3248197E+001, 2.1999178E+001, 2.1436455E+001, 3.3611240E+000, 3.2484651E+000, 2.4300102E+000, 1.8943016E+000, 1.2860912E+000, 1.0019651E+000, 2.6984800E+000, 2.6348918E+000, 2.0466436E+000, 1.6671229E+000, 1.1899600E+000, 9.5596136E-001, 9.5503943E-001, 9.5180265E-001
 1.0004249E+001, 6.4777693E+002, 7.9037646E+002, 8.2599372E+002, 7.7784107E+002, 5.6161630E+002, 4.5744956E+002, 3.8279870E+002, 3.3100234E+002, 5.6161630E+002, 4.5744956E+002, 3.8279870E+002, 3.3100234E+002, 6.6202418E+002, 7.4119117E+002, 7.5066522E+002, 7.1630719E+002, 5.8648414E+002, 5.1644318E+002, 4.5263712E+002, 3.9851701E+002, 5.8648414E+002, 5.1644318E+002, 4.5263712E+002, 3.9851701E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.3205638E+001, 4.3016434E+001, 3.7675047E+001, 3.3740531E+001, 2.9195143E+001, 2.7011651E+001, 2.4607452E+001, 2.3413243E+001, 2.2097437E+001, 2.1494995E+001, 3.3239503E+000, 3.3912960E+000, 2.6515740E+000, 2.0379912E+000, 1.3426470E+000, 1.0145346E+000, 2.9475462E+000, 2.9715267E+000, 2.4064879E+000, 1.8782843E+000, 1.2656453E+000, 9.7126747E-001, 9.6153035E-001, 9.5828851E-001
 1.1007089E+001, 6.9940950E+002, 7.7295944E+002, 7.3918735E+002, 6.9874168E+002, 5.8151610E+002, 5.2225918E+002, 4.7256513E+002, 4.1850625E+002, 5.8151610E+002, 5.2225918E+002, 4.7256513E+002, 4.1850625E+002, 6.4524288E+002, 7.4635048E+002, 7.5890342E+002, 7.2851098E+002, 5.9776492E+002, 5.2323080E+002, 4.5955985E+002, 4.0384483E+002, 5.9776492E+002, 5.2323080E+002, 4.5955985E+002, 4.0384483E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.4640160E+001, 4.4443872E+001, 3.8518085E+001, 3.4435940E+001, 2.9677803E+001, 2.7352427E+001, 2.4837475E+001, 2.3610616E+001, 2.2240257E+001, 2.1586795E+001, 3.4453531E+000, 3.3869068E+000, 2.4104546E+000, 1.8654690E+000, 1.2513847E+000, 9.3596602E-001, 2.7635623E+000, 2.7494805E+000, 2.0592928E+000, 1.6373281E+000, 1.1679625E+000, 9.0981164E-001, 9.1520498E-001, 9.1216313E-001
 1.2002789E+001, 8.4153879E+002, 8.8915356E+002, 8.0817534E+002, 6.7689295E+002, 4.4749469E+002, 3.6949116E+002, 3.0858134E+002, 2.6638668E+002, 4.4749469E+002, 3.6949116E+002, 3.0858134E+002, 2.6638668E+002, 6.7972953E+002, 7.3439954E+002, 7.1130877E+002, 6.6002245E+002, 5.3469813E+002, 4.7445349E+002, 4.2103952E+002, 3.7496495E+002, 5.3469813E+002, 4.7445349E+002, 4.2103952E+002, 3.7496495E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.5812466E+001, 4.5678299E+001, 3.9548674E+001, 3.5238915E+001, 3.0225881E+001, 2.7774887E+001, 2.5097907E+001, 2.3792363E+001, 2.2344282E+001, 2.1667609E+001, 3.3354871E+000, 3.4069199E+000, 2.6349919E+000, 2.0354275E+000, 1.3528253E+000, 1.0251261E+000, 2.6462348E+000, 2.6772708E+000, 2.2081418E+000, 1.7717075E+000, 1.2294233E+000, 9.5934133E-001, 1.0266156E+000, 1.0231439E+000
 1.3010743E+001, 7.9223724E+002, 6.9487627E+002, 5.9260263E+002, 5.2995412E+002, 4.7753640E+002, 4.4278502E+002, 4.1048502E+002, 3.7791788E+002, 4.7753640E+002, 4.4278502E+002, 4.1048502E+002, 3.7791788E+002, 7.3805143E+002, 7.7115990E+002, 7.3755549E+002, 6.8195042E+002, 5.5802349E+002, 4.9750003E+002, 4.4260484E+002, 3.9218234E+002, 5.5802349E+002, 4.9750003E+002, 4.4260484E+002, 3.9218234E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.7282554E+001, 4.6486788E+001, 3.9830727E+001, 3.5406743E+001, 3.0367544E+001, 2.7925777E+001, 2.5239102E+001, 2.3919445E+001, 2.2433284E+001, 2.1743825E+001, 3.4081287E+000, 2.9761105E+000, 2.0403200E+000, 1.5581229E+000, 1.0424838E+000, 8.0658193E-001, 2.7836895E+000, 2.5003336E+000, 1.7988486E+000, 1.4233655E+000, 9.9686931E-001, 7.9207984E-001, 8.6599829E-001, 8.6310770E-001
 1.4009197E+001, 7.3525464E+002, 8.0441968E+002, 7.0858751E+002, 5.8883234E+002, 3.9984581E+002, 3.4583999E+002, 3.0859605E+002, 2.7378544E+002, 3.9984581E+002, 3.4583999E+002, 3.0859605E+002, 2.7378544E+002, 7.0890754E+002, 7.1799065E+002, 6.6726584E+002, 6.0781433E+002, 4.9495402E+002, 4.4193998E+002, 3.9492004E+002, 3.5183968E+002, 4.9495402E+002, 4.4193998E+002, 3.9492004E+002, 3.5183968E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.8906470E+001, 4.8642434E+001, 4.1821852E+001, 3.6890816E+001, 3.1162686E+001, 2.8459287E+001, 2.5508826E+001, 2.4075716E+001, 2.2508620E+001, 2.1788768E+001, 3.6129924E+000, 3.8073752E+000, 3.0477408E+000, 2.3568334E+000, 1.5101938E+000, 1.1344974E+000, 2.8559091E+000, 2.9792608E+000, 2.4349691E+000, 1.9773431E+000, 1.3725749E+000, 1.0612901E+000, 9.9088883E-001, 9.8747126E-001
 1.5002409E+001, 7.4499951E+002, 7.7572756E+002, 7.1150347E+002, 6.4147873E+002, 5.0609144E+002, 4.5229567E+002, 4.0319225E+002, 3.6965188E+002, 5.0609144E+002, 4.5229567E+002, 4.0319225E+002, 3.6965188E+002, 6.7570088E+002, 7.1929419E+002, 6.8423433E+002, 6.3128982E+002, 5.1106710E+002, 4.5299011E+002, 4.0115113E+002, 3.5648153E+002, 5.1106710E+002, 4.5299011E+002, 4.0115113E+002, 3.5648153E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.9273558E+001, 4.8712329E+001, 4.1810340E+001, 3.6980411E+001, 3.1282304E+001, 2.8588773E+001, 2.5658293E+001, 2.4227481E+001, 2.2638637E+001, 2.1885347E+001, 3.2166193E+000, 3.0352900E+000, 2.2421317E+000, 1.7408890E+000, 1.1315381E+000, 8.5344548E-001, 2.6772906E+000, 2.5354796E+000, 1.9406800E+000, 1.5810900E+000, 1.0867251E+000, 8.3634431E-001, 8.7758564E-001, 8.7457933E-001
 1.6007251E+001, 8.1278791E+002, 8.5062772E+002, 7.5592807E+002, 6.2542118E+002, 4.1091138E+002, 3.3772762E+002, 2.8517995E+002, 2.4783922E+002, 4.1091138E+002, 3.3772762E+002, 2.8517995E+002, 2.4783922E+002, 7.0473842E+002, 7.3136293E+002, 6.7981569E+002, 6.1289315E+002, 4.8005786E+002, 4.2296275E+002, 3.7538178E+002, 3.3820348E+002, 4.8005786E+002, 4.2296275E+002, 3.7538178E+002, 3.3820348E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.0549412E+001, 5.0218034E+001, 4.2911206E+001, 3.7823243E+001, 3.1923398E+001, 2.9076538E+001, 2.5962490E+001, 2.4455342E+001, 2.2802506E+001, 2.2019494E+001, 3.4966002E+000, 3.5368845E+000, 2.6239782E+000, 2.0058980E+000, 1.3621489E+000, 1.0442166E+000, 2.8379899E+000, 2.8601593E+000, 2.2238308E+000, 1.7528996E+000, 1.2437272E+000, 9.9074214E-001, 1.0139523E+000, 1.0104383E+000
 1.7006346E+001, 7.4170585E+002, 8.0187022E+002, 7.6402502E+002, 6.8441001E+002, 5.3334924E+002, 4.8262542E+002, 4.3779523E+002, 3.9550085E+002, 5.3334924E+002, 4.8262542E+002, 4.3779523E+002, 3.9550085E+002, 7.0707501E+002, 7.4192473E+002, 6.9827220E+002, 6.3530527E+002, 5.0428379E+002, 4.4574908E+002, 3.9330127E+002, 3.4968814E+002, 5.0428379E+002, 4.4574908E+002, 3.9330127E+002, 3.4968814E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.1662659E+001, 5.1067489E+001, 4.3420780E+001, 3.8246370E+001, 3.2293524E+001, 2.9378002E+001, 2.6150248E+001, 2.4592253E+001, 2.2892444E+001, 2.2107433E+001, 3.4247139E+000, 3.2638193E+000, 2.4150578E+000, 1.9041159E+000, 1.3090644E+000, 1.0044751E+000, 2.7510290E+000, 2.6347744E+000, 2.0273778E+000, 1.6541604E+000, 1.2009970E+000, 9.5209472E-001, 9.0853303E-001, 9.0539434E-001
 1.8005286E+001, 6.5157796E+002, 8.6453632E+002, 9.0509438E+002, 8.5954500E+002, 7.1178151E+002, 6.1943276E+002, 5.2049329E+002, 4.4429336E+002, 7.1178151E+002, 6.1943276E+002, 5.2049329E+002, 4.4429336E+002, 6.8290328E+002, 7.5553617E+002, 7.4202954E+002, 6.8855967E+002, 5.5278761E+002, 4.8751862E+002, 4.2653401E+002, 3.7545440E+002, 5.5278761E+002, 4.8751862E+002, 4.2653401E+002, 3.7545440E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.2956108E+001, 5.2235909E+001, 4.4394286E+001, 3.8921815E+001, 3.2571645E+001, 2.9540415E+001, 2.6290959E+001, 2.4713348E+001, 2.2975994E+001, 2.2202018E+001, 3.5734123E+000, 3.5293462E+000, 2.7251917E+000, 2.0713130E+000, 1.3173229E+000, 9.7862389E-001, 3.0533228E+000, 2.9360811E+000, 2.2740869E+000, 1.8177680E+000, 1.2407829E+000, 9.5359771E-001, 9.2735791E-001, 9.2412979E-001
