,RI=05,RI=10,RI=20,RI=05,RI=10,RI=20
GHF1_Wall_0p5,7.459417893,6.536360452,5.100447043,5.305181496,4.685250195,3.960749227
GHF2_Wall_0p7,6.941693011,7.302036691,6.430015539,4.949524902,5.149916312,4.793736851
GHF3_Wall_0p9,4.664045588,6.224676608,6.613924781,3.514200799,4.536433099,4.974453209
GHF4_Wall_1p1,3.384512399,4.34555037,5.46767328,2.667499239,3.34255662,4.293842155
GHF5_Wall_1p3,2.168192682,2.80209789,3.863494883,1.80701533,2.286284266,3.18503896
GHF6_Wall_1p5,1.694325771,1.860639283,2.560791295,1.448988832,1.570860417,2.225186938
