s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000,-9.1384488E-008
 1.0000621E+000, 4.3702029E+002, 3.0066795E+002, 2.1121480E+002, 1.5099223E+002, 8.0337252E+001, 5.5602030E+001, 3.6220339E+001, 2.4485423E+001, 2.0029207E+001, 2.0003623E+001, 2.0002798E+001, 2.0002191E+001, 6.7542574E+001, 4.7806677E+001, 3.7149246E+001, 2.9685675E+001, 2.2270850E+001, 2.0844771E+001, 2.0259932E+001, 2.0088685E+001, 2.0033539E+001, 2.0025978E+001, 2.0020428E+001, 2.0016203E+001,-5.6843419E-017, 2.8461426E-001
 2.0042875E+000, 8.0756647E+002, 8.8541113E+002, 8.5402572E+002, 7.8219535E+002, 6.1891048E+002, 5.4594501E+002, 4.7709754E+002, 4.1033060E+002, 3.1259639E+002, 2.7627378E+002, 2.5579132E+002, 2.3266244E+002, 3.2652354E+002, 3.2021110E+002, 2.8159433E+002, 2.3453578E+002, 1.5694415E+002, 1.3016600E+002, 1.1062439E+002, 9.5701486E+001, 7.6434148E+001, 6.9324286E+001, 6.3567062E+001, 5.7055869E+001,-5.6843419E-017, 1.5252610E+000
 3.0048193E+000, 8.1653469E+002, 8.7781987E+002, 8.5070559E+002, 7.9169799E+002, 6.8232735E+002, 6.3445140E+002, 5.8885339E+002, 5.4710764E+002, 4.3898362E+002, 3.8093716E+002, 3.3251185E+002, 2.9183143E+002, 5.4303746E+002, 5.7803889E+002, 5.5296727E+002, 5.0385276E+002, 4.0362378E+002, 3.5752033E+002, 3.1326697E+002, 2.7332347E+002, 2.0470795E+002, 1.7716358E+002, 1.5882540E+002, 1.4128004E+002,-5.6843419E-017, 1.9604579E+000
 4.0085854E+000, 8.9318557E+002, 9.8162257E+002, 9.6291053E+002, 8.9592010E+002, 7.3153133E+002, 6.3648465E+002, 5.6025259E+002, 5.0135711E+002, 4.1599082E+002, 3.8720699E+002, 3.4513956E+002, 3.1397699E+002, 6.6294544E+002, 7.2089559E+002, 7.0325021E+002, 6.5061171E+002, 5.3200333E+002, 4.7483830E+002, 4.2374358E+002, 3.7959872E+002, 2.9954186E+002, 2.6539808E+002, 2.3689695E+002, 2.1216066E+002,-5.6843419E-017, 2.0353638E+000
 5.0083123E+000, 7.6242449E+002, 8.5087786E+002, 8.3420865E+002, 7.6423195E+002, 6.2731493E+002, 5.7723377E+002, 5.3456587E+002, 4.9594819E+002, 4.1232018E+002, 3.7222401E+002, 3.4092656E+002, 3.0785992E+002, 7.1989072E+002, 7.6647571E+002, 7.4544968E+002, 6.9647076E+002, 5.8332847E+002, 5.2255468E+002, 4.6743612E+002, 4.1949386E+002, 3.3866824E+002, 3.0619815E+002, 2.7432251E+002, 2.4710146E+002,-5.6843419E-017, 2.0095780E+000
 6.0101748E+000, 7.6816447E+002, 7.8546597E+002, 7.4442570E+002, 6.8483977E+002, 5.4765359E+002, 4.7969643E+002, 4.2244569E+002, 3.7675085E+002, 2.9564738E+002, 2.6474230E+002, 2.4194401E+002, 2.2746983E+002, 7.1025057E+002, 7.6883232E+002, 7.6611407E+002, 7.2624145E+002, 6.1557870E+002, 5.5667127E+002, 5.0248444E+002, 4.5498967E+002, 3.7111662E+002, 3.3677802E+002, 3.0643389E+002, 2.7887852E+002,-5.6843419E-017, 1.6975404E+000
 7.0000028E+000, 6.9003399E+002, 7.1664058E+002, 6.4975755E+002, 5.8260014E+002, 4.5705083E+002, 4.0321475E+002, 3.5944177E+002, 3.3032753E+002, 2.8075902E+002, 2.6074925E+002, 2.4578413E+002, 2.3281105E+002, 6.8831968E+002, 7.2842043E+002, 7.1509209E+002, 6.8008389E+002, 5.7627825E+002, 5.1915812E+002, 4.6532026E+002, 4.1963242E+002, 3.4025509E+002, 3.0874166E+002, 2.8228949E+002, 2.5936868E+002,-5.6843419E-017, 2.0098545E+000
 8.0069943E+000, 6.8772278E+002, 7.7851363E+002, 7.8658704E+002, 7.4640218E+002, 6.0552231E+002, 5.2067625E+002, 4.4914031E+002, 3.8181127E+002, 2.7442875E+002, 2.3912453E+002, 2.0960010E+002, 1.8384971E+002, 6.5503400E+002, 7.2057760E+002, 7.2032346E+002, 6.9056850E+002, 5.7590406E+002, 5.0784010E+002, 4.4666722E+002, 3.9630094E+002, 3.1572525E+002, 2.8542198E+002, 2.6035804E+002, 2.3860790E+002,-5.6843419E-017, 1.8706433E+000
 9.0039522E+000, 7.7842273E+002, 7.7124589E+002, 6.9128003E+002, 6.0614221E+002, 4.4658897E+002, 3.8161680E+002, 3.2167437E+002, 2.7935418E+002, 2.2202734E+002, 2.0672901E+002, 1.9650482E+002, 1.8533876E+002, 6.7682898E+002, 7.0044728E+002, 6.7427416E+002, 6.3477082E+002, 5.3050394E+002, 4.7004513E+002, 4.1604507E+002, 3.6946429E+002, 2.8993215E+002, 2.6153349E+002, 2.3766144E+002, 2.1610872E+002,-5.6843419E-017, 1.8947588E+000
 1.0005168E+001, 7.3190831E+002, 8.1784556E+002, 7.4490160E+002, 6.2587683E+002, 4.6836653E+002, 4.2604862E+002, 3.8064581E+002, 3.4670203E+002, 2.9920918E+002, 2.8274476E+002, 2.5661726E+002, 2.3828065E+002, 6.8138593E+002, 7.3009331E+002, 6.9547600E+002, 6.4346120E+002, 5.3982187E+002, 4.8657150E+002, 4.3451323E+002, 3.8685956E+002, 3.0453096E+002, 2.7551532E+002, 2.4853663E+002, 2.2703126E+002,-5.6843419E-017, 1.9622325E+000
 1.1007566E+001, 7.5871148E+002, 7.3445084E+002, 6.1166655E+002, 5.0302067E+002, 3.5591239E+002, 3.1541696E+002, 2.8976629E+002, 2.6653518E+002, 2.2009865E+002, 2.0230785E+002, 1.8787294E+002, 1.7302856E+002, 7.0421268E+002, 7.2543982E+002, 6.7438384E+002, 6.0631607E+002, 4.8924343E+002, 4.4554965E+002, 4.0037174E+002, 3.6078640E+002, 2.8950786E+002, 2.6337997E+002, 2.3839455E+002, 2.1788948E+002,-5.6843419E-017, 1.6007369E+000
 1.2007377E+001, 6.7553052E+002, 6.5667537E+002, 6.4196843E+002, 6.0980232E+002, 5.4440257E+002, 4.9524973E+002, 4.4111811E+002, 3.8659735E+002, 2.9718124E+002, 2.6349363E+002, 2.4046900E+002, 2.1192224E+002, 6.7925480E+002, 7.1599971E+002, 6.8301914E+002, 6.2599906E+002, 5.0940997E+002, 4.5610145E+002, 4.0262303E+002, 3.5593485E+002, 2.7969309E+002, 2.5345520E+002, 2.3118684E+002, 2.1132414E+002,-5.6843419E-017, 1.9284147E+000
 1.3001562E+001, 7.8408167E+002, 8.8942115E+002, 8.6977881E+002, 8.1173925E+002, 6.8157071E+002, 6.0750360E+002, 5.3202938E+002, 4.6041571E+002, 3.6240100E+002, 3.3171756E+002, 2.9204644E+002, 2.6834271E+002, 6.8972731E+002, 7.1579165E+002, 6.9247507E+002, 6.5048785E+002, 5.5385832E+002, 5.0079310E+002, 4.4574183E+002, 3.9351051E+002, 3.0789577E+002, 2.7730790E+002, 2.4848746E+002, 2.2480324E+002,-5.6843419E-017, 1.8427760E+000
 1.4009108E+001, 8.4415913E+002, 9.4936440E+002, 9.3424685E+002, 8.6735487E+002, 7.2344133E+002, 6.4625309E+002, 5.7290930E+002, 5.0291796E+002, 3.7540385E+002, 3.2379243E+002, 2.7800823E+002, 2.4195575E+002, 7.1773670E+002, 7.8265321E+002, 7.7252983E+002, 7.2709307E+002, 6.1534905E+002, 5.5109455E+002, 4.8705472E+002, 4.2723582E+002, 3.3219412E+002, 2.9853994E+002, 2.6577694E+002, 2.4086639E+002,-5.6843419E-017, 1.9626849E+000
 1.5002201E+001, 7.3308031E+002, 8.2968054E+002, 8.5960885E+002, 8.5543350E+002, 7.4863987E+002, 6.6901067E+002, 5.9272485E+002, 5.1906869E+002, 3.9651479E+002, 3.5097596E+002, 3.0729991E+002, 2.6668087E+002, 7.1177335E+002, 7.9967345E+002, 8.0272776E+002, 7.6791708E+002, 6.5741968E+002, 5.8872694E+002, 5.2225261E+002, 4.5754056E+002, 3.5153407E+002, 3.1214874E+002, 2.7530816E+002, 2.4547196E+002,-5.6843419E-017, 1.9415579E+000
 1.6000109E+001, 6.9741069E+002, 7.4466498E+002, 6.9369129E+002, 6.1722973E+002, 4.5884154E+002, 3.8611437E+002, 3.3289893E+002, 2.9187043E+002, 2.4750921E+002, 2.3900613E+002, 2.2927595E+002, 2.2095084E+002, 6.9274602E+002, 7.3770952E+002, 7.2386069E+002, 6.9040395E+002, 5.9666246E+002, 5.3915045E+002, 4.8470278E+002, 4.3262881E+002, 3.4497608E+002, 3.1192300E+002, 2.7863370E+002, 2.4992485E+002,-5.6843419E-017, 1.8491689E+000
