s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.5200517E+002, 7.9104842E+001,-1.8503869E+001,-5.8409451E+001,-9.6098825E-002,-7.3815842E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2056491E+000, 2.0880409E+000, 1.5996709E-003, 1.5996709E-003
 2.5300064E+002, 8.1336772E+001,-1.9054302E+001,-6.8701336E+001,-9.1136493E-002,-7.5523529E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4794332E+000,-6.5175540E+000, 1.5996709E-003, 1.5996709E-003
 2.5400664E+002, 7.7582217E+001,-1.8226710E+001,-6.0804914E+001,-8.3470352E-002,-7.6308267E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8310567E+000,-1.5405075E+000, 1.5996709E-003, 1.5996709E-003
 2.5500465E+002, 7.8784284E+001,-1.8622818E+001,-5.6160991E+001,-9.7655668E-002,-7.4246926E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8832015E+000, 3.8953940E+000, 1.5996709E-003, 1.5996709E-003
 2.5600500E+002, 8.1705768E+001,-1.8853431E+001,-6.2519244E+001,-8.4278471E-002,-7.4154878E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3941121E-002, 2.4140008E-001, 1.5996709E-003, 1.5996709E-003
 2.5700894E+002, 8.1132511E+001,-1.9216968E+001,-6.2998963E+001,-7.0767160E-002,-7.5244580E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2272926E+000,-1.1617115E+000, 1.5996709E-003, 1.5996709E-003
 2.5800327E+002, 8.1218034E+001,-1.9071963E+001,-6.1399376E+001,-9.4167954E-002,-7.6266117E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0520379E-001, 6.4490071E-001, 1.5996709E-003, 1.5996709E-003
 2.5900842E+002, 7.5009697E+001,-1.7608719E+001,-5.8998531E+001,-8.1406031E-002,-7.5948447E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4356311E+000,-1.6865531E+000, 1.5996709E-003, 1.5996709E-003
 2.6000690E+002, 7.9828066E+001,-1.8850413E+001,-5.6950777E+001,-8.7500479E-002,-7.4791600E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7744989E+000, 3.9318961E+000, 1.5996709E-003, 1.5996709E-003
 2.6100449E+002, 7.9240647E+001,-1.8657040E+001,-6.4208040E+001,-6.1634737E-002,-7.5371204E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7286332E+000,-3.6936052E+000, 1.5996709E-003, 1.5996709E-003
 2.6200580E+002, 8.2139171E+001,-1.9353288E+001,-6.0532603E+001,-1.1665170E-001,-7.5304906E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9027192E+000, 2.1290977E+000, 1.5996709E-003, 1.5996709E-003
 2.6300974E+002, 8.1159604E+001,-1.9335952E+001,-6.2199104E+001,-6.5997408E-002,-7.7197031E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0340647E-001,-4.4916943E-001, 1.5996709E-003, 1.5996709E-003
 2.6400797E+002, 7.9772314E+001,-1.8894200E+001,-5.9747227E+001,-1.2332728E-001,-7.5767607E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1442691E-001, 9.9998259E-001, 1.5996709E-003, 1.5996709E-003
 2.6500735E+002, 7.6886639E+001,-1.7995354E+001,-5.9059347E+001,-8.6477726E-002,-7.5276982E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9741492E-001,-2.6206784E-001, 1.5996709E-003, 1.5996709E-003
 2.6600006E+002, 8.2381923E+001,-1.9525765E+001,-6.0586884E+001,-8.6064379E-002,-7.6348923E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9526249E+000, 2.1755744E+000, 1.5996709E-003, 1.5996709E-003
 2.6700906E+002, 7.7738840E+001,-1.8235084E+001,-5.5289681E+001,-5.2799602E-002,-7.4706866E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1389156E+000, 4.1538045E+000, 1.5996709E-003, 1.5996709E-003
 2.6800803E+002, 8.1049665E+001,-1.9330836E+001,-6.5048084E+001,-1.2432008E-001,-7.5334231E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7131668E+000,-3.4611093E+000, 1.5996709E-003, 1.5996709E-003
 2.6900931E+002, 8.0347786E+001,-1.8812970E+001,-6.0925252E+001,-4.7168508E-002,-7.6090496E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1314751E-001, 5.5478668E-001, 1.5996709E-003, 1.5996709E-003
 2.7000140E+002, 7.7627961E+001,-1.8288823E+001,-6.3074837E+001,-1.3563147E-001,-7.7142864E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0315315E+000,-3.8790447E+000, 1.5996709E-003, 1.5996709E-003
 2.7100616E+002, 8.2605094E+001,-1.9516942E+001,-6.2893608E+001,-1.2425803E-001,-7.6523091E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8078679E-002, 6.2633483E-002, 1.5996709E-003, 1.5996709E-003
 2.7201007E+002, 7.5564831E+001,-1.7745660E+001,-5.8194217E+001,-6.6338579E-002,-7.5571408E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6989117E-001,-4.4894135E-001, 1.5996709E-003, 1.5996709E-003
 2.7300027E+002, 7.9277778E+001,-1.8463379E+001,-6.0417733E+001,-7.2801578E-002,-7.4657921E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1025565E-001, 3.1639800E-001, 1.5996709E-003, 1.5996709E-003
 2.7400104E+002, 8.1772646E+001,-1.9294507E+001,-6.0126452E+001,-8.4746521E-002,-7.6371382E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9853970E+000, 2.2593030E+000, 1.5996709E-003, 1.5996709E-003
 2.7500250E+002, 7.6153775E+001,-1.7747271E+001,-6.2799858E+001,-7.4722280E-002,-7.4741911E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5129851E+000,-4.4755501E+000, 1.5996709E-003, 1.5996709E-003
 2.7600235E+002, 8.2885497E+001,-1.9685155E+001,-5.8570352E+001,-4.9875274E-002,-7.6844429E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5171775E+000, 4.5724302E+000, 1.5996709E-003, 1.5996709E-003
 2.7700766E+002, 7.7547172E+001,-1.8066045E+001,-5.6067123E+001,-8.9523299E-002,-7.4491152E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8892694E+000, 3.3170324E+000, 1.5996709E-003, 1.5996709E-003
 2.7800940E+002, 7.9990448E+001,-1.8953107E+001,-6.5921629E+001,-7.5419865E-002,-7.3429566E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6069814E+000,-4.9670502E+000, 1.5996709E-003, 1.5996709E-003
 2.7900967E+002, 7.9389494E+001,-1.8660408E+001,-6.3740392E+001,-7.1934413E-002,-7.5563099E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2203480E+000,-3.0907972E+000, 1.5996709E-003, 1.5996709E-003
