,CL_RI=05,CL_RI=10,CL_RI=20,EDGE_RI=05,EDGE_RI=10,EDGE_RI=20
GHF1_Wall_0p5,12.18430775,16.13189595,15.29944647,10.43364966,6.772112798,4.63447945
GHF2_Wall_0p7,37.55764659,32.22569486,30.81421828,14.95499096,8.817796664,8.210253248
GHF3_Wall_0p9,33.73248825,35.1726356,35.23590709,15.01128201,12.44902354,11.74521759
GHF4_Wall_1p1,21.10817774,27.43193728,29.51631476,11.37313701,12.30648794,12.08692948
GHF5_Wall_1p3,14.34488063,19.92527343,21.81638815,8.738764124,10.42738151,10.89670988
GHF6_Wall_1p5,8.303664339,11.55107262,13.50683114,5.87112373,7.250795465,8.036690647
