s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","T01_Wall","T02_Wall","T03_Wall","T04_Wall","T05_Wall","T06_Wall","T07_Wall","T08_Wall","T09_Wall","T10_Wall","T11_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9999965E+001, 1.9999963E+001, 1.9999932E+001, 1.9999923E+001, 1.9999909E+001, 1.9999895E+001, 1.9999937E+001, 1.9999946E+001, 1.9999958E+001, 1.9999967E+001, 1.9999967E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-2.0720348E-003,-1.7414829E-003,-4.5534096E-003,-4.6253411E-003,-5.0864568E-003,-5.5920905E-003,-2.1465395E-003,-1.8526745E-003,-4.5920601E-003,-4.8152775E-003,-5.3266370E-003,-5.7422893E-003
 1.0010112E+000, 2.3165403E+002, 3.6866099E+001, 2.0009447E+001, 2.0004011E+001, 2.0001503E+001, 2.0000472E+001, 2.0000023E+001, 2.0000008E+001, 2.0000000E+001, 1.9999898E+001, 1.9999893E+001, 2.0000001E+001, 3.3593852E+001, 2.0312008E+001, 2.0036220E+001, 2.0016280E+001, 2.0006156E+001, 2.0001947E+001, 2.0000125E+001, 1.9999937E+001, 1.9999879E+001, 1.9999603E+001, 1.9999623E+001, 2.0000000E+001, 2.8278429E+001, 2.2600986E+001, 2.0179536E+001, 2.0063300E+001, 2.0027951E+001, 2.0012078E+001, 2.0002582E+001, 2.0000792E+001, 2.0000114E+001, 1.9998763E+001, 1.9998725E+001, 6.9347006E+000, 2.4817608E+000, 1.6104596E-001, 5.3936141E-002, 2.2876901E-002, 9.7645154E-003, 2.8901917E+000, 8.6170936E-001, 1.4319189E-001, 6.4939884E-002, 4.5753752E-002, 3.5443241E-002
 2.0008326E+000, 5.5732378E+002, 4.1812732E+002, 3.8995086E+002, 3.6382813E+002, 3.2077942E+002, 2.3769086E+002, 1.6848799E+002, 1.0344785E+002, 7.9310048E+001, 8.3373783E+001, 6.3939516E+001, 2.0000006E+001, 2.1097014E+002, 8.7143024E+001, 9.1385807E+001, 9.8584042E+001, 7.6145703E+001, 4.8821009E+001, 3.9259833E+001, 3.0174136E+001, 2.5329937E+001, 2.4172876E+001, 2.1598506E+001, 2.0000000E+001, 8.1410034E+001, 9.0117652E+001, 7.9765859E+001, 6.5306757E+001, 5.1185787E+001, 3.9756115E+001, 3.0737714E+001, 2.5011785E+001, 2.2734889E+001, 2.1594549E+001, 2.0492695E+001, 2.6237914E+001, 3.4152694E+001, 3.1680921E+001, 2.4725227E+001, 1.7678639E+001, 1.1665465E+001, 4.3551999E+000, 6.0871735E+000, 7.4512080E+000, 7.4577579E+000, 6.7726221E+000, 6.4110484E+000
 3.0011316E+000, 1.0521298E+003, 8.6282044E+002, 6.6977156E+002, 4.6780958E+002, 3.2394900E+002, 2.5665349E+002, 1.8844402E+002, 1.8504886E+002, 1.2602083E+002, 1.1781829E+002, 1.6651036E+002, 2.0000007E+001, 5.2509588E+002, 3.8753013E+002, 3.1819367E+002, 2.5620252E+002, 1.9375540E+002, 1.4283710E+002, 1.0879667E+002, 8.8880798E+001, 6.5604441E+001, 6.3911840E+001, 5.6178535E+001, 2.0000003E+001, 1.1563552E+002, 1.3870158E+002, 1.2290546E+002, 9.5443555E+001, 7.7445692E+001, 5.3624513E+001, 3.9827715E+001, 3.3858070E+001, 2.9050353E+001, 2.4780734E+001, 2.4023085E+001, 2.7634898E+001, 3.6453056E+001, 3.1380259E+001, 2.0922513E+001, 1.5775195E+001, 7.7251744E+000, 5.8381916E+000, 7.3701289E+000, 7.7330020E+000, 8.2748259E+000, 8.4518876E+000, 6.4901473E+000
 4.0003221E+000, 1.0797033E+003, 7.6714098E+002, 6.1664958E+002, 5.9825466E+002, 5.6345781E+002, 4.3693072E+002, 3.2979984E+002, 2.6995440E+002, 1.6251381E+002, 1.7390504E+002, 1.9934998E+002, 2.0000013E+001, 7.6701688E+002, 6.2401614E+002, 5.2060902E+002, 4.2254567E+002, 3.5903313E+002, 2.5616571E+002, 1.7588066E+002, 1.4451712E+002, 9.3919028E+001, 8.8581801E+001, 8.6364359E+001, 2.0000027E+001, 1.3606210E+002, 1.6366970E+002, 1.5100648E+002, 1.1015822E+002, 8.0938644E+001, 5.5688203E+001, 4.2413151E+001, 3.5872424E+001, 3.0339792E+001, 2.7242373E+001, 2.5262245E+001, 2.7873280E+001, 3.4994527E+001, 3.3106655E+001, 2.1995333E+001, 1.3162723E+001, 8.0201409E+000, 6.2164810E+000, 1.2883629E+001, 1.1934115E+001, 8.9210602E+000, 6.8249731E+000, 5.4713409E+000
 5.0012636E+000, 1.0133994E+003, 8.2679427E+002, 5.4704923E+002, 4.4785154E+002, 4.5248335E+002, 3.9415065E+002, 3.2698838E+002, 2.8312992E+002, 2.1671094E+002, 1.8315201E+002, 2.1284458E+002, 2.0000031E+001, 8.5463473E+002, 7.2962610E+002, 5.7411552E+002, 4.8555754E+002, 4.4013104E+002, 3.2282086E+002, 2.3587433E+002, 1.9275112E+002, 1.2385697E+002, 1.1776934E+002, 1.2791765E+002, 2.0000090E+001, 1.5850213E+002, 1.8972828E+002, 1.7282267E+002, 1.2920565E+002, 9.4541959E+001, 6.3701097E+001, 4.6221998E+001, 3.7603378E+001, 3.2115908E+001, 2.7909148E+001, 2.7288982E+001, 2.9973553E+001, 3.6756082E+001, 3.2254195E+001, 2.3017427E+001, 1.5599996E+001, 9.3397431E+000, 6.2794197E+000, 1.1746948E+001, 1.1603094E+001, 8.7013294E+000, 6.3523986E+000, 4.5002066E+000
 6.0012514E+000, 1.0685598E+003, 8.0617959E+002, 6.6964169E+002, 5.7250282E+002, 4.6406345E+002, 3.4527730E+002, 2.5325796E+002, 2.3924664E+002, 1.9768452E+002, 2.0562177E+002, 2.0887525E+002, 2.0000050E+001, 8.7759618E+002, 7.4521117E+002, 6.0202312E+002, 5.0940530E+002, 4.4303719E+002, 3.4711365E+002, 2.5915893E+002, 2.2481661E+002, 1.6114977E+002, 1.4873456E+002, 1.5036069E+002, 2.0000154E+001, 1.7169108E+002, 2.0116121E+002, 1.8322511E+002, 1.3295814E+002, 9.6249629E+001, 6.4975477E+001, 4.7334930E+001, 3.8447839E+001, 3.3492863E+001, 2.8795685E+001, 2.8867865E+001, 2.7875291E+001, 3.3740018E+001, 2.9846605E+001, 2.0610348E+001, 1.3428582E+001, 7.3631504E+000, 8.2370715E+000, 9.9220561E+000, 9.3994935E+000, 1.0979530E+001, 8.7876470E+000, 6.0025183E+000
 7.0013584E+000, 1.0719512E+003, 6.9051160E+002, 5.7466411E+002, 5.4636803E+002, 4.6274528E+002, 4.2011157E+002, 3.0944550E+002, 2.6899180E+002, 2.1465595E+002, 1.6472856E+002, 1.6471924E+002, 2.0000070E+001, 8.9557510E+002, 7.3798472E+002, 6.3191976E+002, 5.6125876E+002, 4.7391223E+002, 3.9135100E+002, 2.8600346E+002, 2.4649347E+002, 1.8446974E+002, 1.6375429E+002, 1.5925720E+002, 2.0000214E+001, 1.7951709E+002, 2.2249707E+002, 2.0867506E+002, 1.5915467E+002, 1.1135320E+002, 7.4350193E+001, 5.2149743E+001, 4.0423192E+001, 3.4900556E+001, 2.9789327E+001, 2.9064679E+001, 2.5520092E+001, 3.5227355E+001, 3.6214037E+001, 2.9042183E+001, 1.8327172E+001, 1.1207915E+001, 6.5789492E+000, 1.0558867E+001, 1.1364249E+001, 1.0712645E+001, 8.8227677E+000, 6.8314942E+000
 8.0011865E+000, 8.7039542E+002, 6.7726470E+002, 5.5749527E+002, 5.3570000E+002, 5.2626351E+002, 3.8920381E+002, 3.0396875E+002, 2.1977763E+002, 1.8899714E+002, 1.9570567E+002, 2.3219001E+002, 2.0000091E+001, 8.7268789E+002, 7.6297338E+002, 6.6350911E+002, 5.7129423E+002, 4.9371212E+002, 3.9451798E+002, 3.0166637E+002, 2.4745771E+002, 1.8632342E+002, 1.6420393E+002, 1.6946510E+002, 2.0000272E+001, 1.8486621E+002, 2.3665051E+002, 2.2374643E+002, 1.7181401E+002, 1.2338934E+002, 8.6888436E+001, 6.2317683E+001, 4.6433802E+001, 3.8890655E+001, 3.2613391E+001, 3.0960079E+001, 2.4136450E+001, 3.6482662E+001, 3.5164879E+001, 2.5727200E+001, 1.8203539E+001, 1.2955577E+001, 5.1803676E+000, 7.1338389E+000, 9.5446132E+000, 8.2598110E+000, 6.9873555E+000, 6.1407280E+000
