,0.5 m,0.7 m,0.9 m,1.1 m,1.3 m,1.5 m
0,5.4232196188,7.422138353199999,6.227692124000001,3.9751377575999998,2.8925843548,1.9071183224
1,5.0757461744,7.063842349999999,7.0650731244,5.4836038984,3.9901402716,2.3585864528
2,3.7009433227999997,5.603468584800001,6.695170388,6.37371376,5.1560994548,3.4285443084000002
