m,kW/m
Height,HRRPUL
 3.1000000E-001, 2.0281397E+002
 3.3019417E-001, 1.1968959E+002
 3.5038835E-001, 5.2304329E+001
 3.7058252E-001, 3.0118641E+001
 3.9077670E-001, 2.0674922E+001
 4.1097087E-001, 1.5754177E+001
 4.3116505E-001, 1.2563291E+001
 4.5135922E-001, 1.0332150E+001
 4.7155340E-001, 8.6582073E+000
 4.9174757E-001, 7.3627171E+000
 5.1194175E-001, 6.3365664E+000
 5.3213592E-001, 5.4570959E+000
 5.5233010E-001, 4.7526813E+000
 5.7252427E-001, 4.1847560E+000
 5.9271845E-001, 3.6397243E+000
 6.1291262E-001, 3.4848879E+000
 6.3310680E-001, 3.0636405E+000
 6.5330097E-001, 2.6066797E+000
 6.7349515E-001, 2.2433213E+000
 6.9368932E-001, 1.9370870E+000
 7.1388350E-001, 1.6756467E+000
 7.3407767E-001, 1.4609051E+000
 7.5427184E-001, 1.2812920E+000
 7.7446602E-001, 1.1244426E+000
 7.9466019E-001, 9.7791717E-001
 8.1485437E-001, 8.4954974E-001
 8.3504854E-001, 7.4425786E-001
 8.5524272E-001, 6.5052709E-001
 8.7543689E-001, 5.7117872E-001
 8.9563107E-001, 5.0579929E-001
 9.1582524E-001, 4.4734186E-001
 9.3601942E-001, 3.9770343E-001
 9.5621359E-001, 3.5611372E-001
 9.7640777E-001, 3.2156719E-001
 9.9660194E-001, 2.8803382E-001
 1.0167961E+000, 2.4829117E-001
 1.0369903E+000, 2.0782296E-001
 1.0571845E+000, 1.7353388E-001
 1.0773786E+000, 1.4530596E-001
 1.0975728E+000, 1.2229233E-001
 1.1177670E+000, 1.0342484E-001
 1.1379612E+000, 8.8047198E-002
 1.1581553E+000, 7.5182751E-002
 1.1783495E+000, 6.4288532E-002
 1.1985437E+000, 5.1669678E-002
 1.2187379E+000, 4.8643793E-002
 1.2389320E+000, 4.3240168E-002
 1.2591262E+000, 3.6197082E-002
 1.2793204E+000, 3.0844153E-002
 1.2995146E+000, 2.6124708E-002
 1.3197087E+000, 2.2409898E-002
 1.3399029E+000, 1.9153470E-002
 1.3600971E+000, 1.3410826E-002
 1.3802913E+000, 1.1185143E-002
 1.4004854E+000, 9.2707980E-003
 1.4206796E+000, 7.6653905E-003
 1.4408738E+000, 6.3640241E-003
 1.4610680E+000, 5.2317218E-003
 1.4812621E+000, 4.2557380E-003
 1.5014563E+000, 3.4517496E-003
 1.5216505E+000, 2.7745569E-003
 1.5418447E+000, 2.1941282E-003
 1.5620388E+000, 1.7301558E-003
 1.5822330E+000, 1.3632294E-003
 1.6024272E+000, 1.0749556E-003
 1.6226214E+000, 8.3653198E-004
 1.6428155E+000, 6.3872360E-004
 1.6630097E+000, 4.8865597E-004
 1.6832039E+000, 3.7768339E-004
 1.7033981E+000, 2.9158720E-004
 1.7235922E+000, 2.2517546E-004
 1.7437864E+000, 1.7538947E-004
 1.7639806E+000, 1.3951020E-004
 1.7841748E+000, 1.0037090E-004
 1.8043689E+000, 8.8588849E-005
 1.8245631E+000, 7.1592502E-005
 1.8447573E+000, 5.6260282E-005
 1.8649515E+000, 4.4881625E-005
 1.8851456E+000, 3.6147653E-005
 1.9053398E+000, 2.9697673E-005
 1.9255340E+000, 2.4807214E-005
 1.9457282E+000, 2.0760131E-005
 1.9659223E+000, 1.7089759E-005
 1.9861165E+000, 1.3875361E-005
 2.0063107E+000, 1.1211609E-005
 2.0265049E+000, 9.0614574E-006
 2.0466990E+000, 7.2953735E-006
 2.0668932E+000, 5.8394755E-006
 2.0870874E+000, 4.6440556E-006
 2.1072816E+000, 3.6470925E-006
 2.1274757E+000, 2.8486981E-006
 2.1476699E+000, 2.2364287E-006
 2.1678641E+000, 1.7709143E-006
 2.1880583E+000, 1.4165113E-006
 2.2082524E+000, 1.1398273E-006
 2.2284466E+000, 9.3831033E-007
 2.2486408E+000, 7.5374902E-007
 2.2688350E+000, 6.1329141E-007
 2.2890291E+000, 4.9989001E-007
 2.3092233E+000, 4.1005436E-007
 2.3294175E+000, 3.3081616E-007
 2.3496117E+000, 2.6685025E-007
 2.3698058E+000, 2.2883298E-007
 2.3900000E+000, 1.4055444E-007
