m,kW/m
Height,HRRPUL
 3.1000000E-001, 1.9015752E+002
 3.3019417E-001, 1.1002440E+002
 3.5038835E-001, 5.0491138E+001
 3.7058252E-001, 3.2819427E+001
 3.9077670E-001, 2.6305403E+001
 4.1097087E-001, 2.3317406E+001
 4.3116505E-001, 2.1334848E+001
 4.5135922E-001, 1.9735622E+001
 4.7155340E-001, 1.8232715E+001
 4.9174757E-001, 1.6843630E+001
 5.1194175E-001, 1.5670069E+001
 5.3213592E-001, 1.4669374E+001
 5.5233010E-001, 1.3798074E+001
 5.7252427E-001, 1.3038941E+001
 5.9271845E-001, 1.2460680E+001
 6.1291262E-001, 1.1877351E+001
 6.3310680E-001, 1.1359465E+001
 6.5330097E-001, 1.0945914E+001
 6.7349515E-001, 1.0603752E+001
 6.9368932E-001, 1.0314683E+001
 7.1388350E-001, 1.0076909E+001
 7.3407767E-001, 9.8583807E+000
 7.5427184E-001, 9.6331347E+000
 7.7446602E-001, 9.4412679E+000
 7.9466019E-001, 9.2737782E+000
 8.1485437E-001, 9.1014410E+000
 8.3504854E-001, 8.9195085E+000
 8.5524272E-001, 8.7535790E+000
 8.7543689E-001, 8.6045798E+000
 8.9563107E-001, 8.4416249E+000
 9.1582524E-001, 8.2653135E+000
 9.3601942E-001, 8.0904112E+000
 9.5621359E-001, 7.9311556E+000
 9.7640777E-001, 7.7746128E+000
 9.9660194E-001, 7.6041324E+000
 1.0167961E+000, 7.4071918E+000
 1.0369903E+000, 7.1850839E+000
 1.0571845E+000, 6.9643789E+000
 1.0773786E+000, 6.7435836E+000
 1.0975728E+000, 6.5025443E+000
 1.1177670E+000, 6.2533667E+000
 1.1379612E+000, 5.9894173E+000
 1.1581553E+000, 5.7017317E+000
 1.1783495E+000, 5.4107832E+000
 1.1985437E+000, 5.1512422E+000
 1.2187379E+000, 4.8640729E+000
 1.2389320E+000, 4.5789539E+000
 1.2591262E+000, 4.2946543E+000
 1.2793204E+000, 4.0114689E+000
 1.2995146E+000, 3.7275564E+000
 1.3197087E+000, 3.4362650E+000
 1.3399029E+000, 3.1542559E+000
 1.3600971E+000, 2.6310285E+000
 1.3802913E+000, 2.3946939E+000
 1.4004854E+000, 2.1766630E+000
 1.4206796E+000, 1.9740517E+000
 1.4408738E+000, 1.7934249E+000
 1.4610680E+000, 1.6342568E+000
 1.4812621E+000, 1.4809842E+000
 1.5014563E+000, 1.3410861E+000
 1.5216505E+000, 1.2116971E+000
 1.5418447E+000, 1.0874784E+000
 1.5620388E+000, 9.6948964E-001
 1.5822330E+000, 8.5492796E-001
 1.6024272E+000, 7.4786925E-001
 1.6226214E+000, 6.5303793E-001
 1.6428155E+000, 5.6595541E-001
 1.6630097E+000, 4.8721460E-001
 1.6832039E+000, 4.1505105E-001
 1.7033981E+000, 3.5134198E-001
 1.7235922E+000, 2.9803003E-001
 1.7437864E+000, 2.5346776E-001
 1.7639806E+000, 2.1412366E-001
 1.7841748E+000, 1.8200116E-001
 1.8043689E+000, 1.5308255E-001
 1.8245631E+000, 1.2921533E-001
 1.8447573E+000, 1.0982403E-001
 1.8649515E+000, 9.3908270E-002
 1.8851456E+000, 8.0817549E-002
 1.9053398E+000, 6.9928666E-002
 1.9255340E+000, 6.1065418E-002
 1.9457282E+000, 5.3375412E-002
 1.9659223E+000, 4.6639147E-002
 1.9861165E+000, 4.1305758E-002
 2.0063107E+000, 3.6775074E-002
 2.0265049E+000, 3.3103732E-002
 2.0466990E+000, 2.8646388E-002
 2.0668932E+000, 2.4538257E-002
 2.0870874E+000, 2.0985361E-002
 2.1072816E+000, 1.8126327E-002
 2.1274757E+000, 1.5625771E-002
 2.1476699E+000, 1.3545916E-002
 2.1678641E+000, 1.1884065E-002
 2.1880583E+000, 1.0738665E-002
 2.2082524E+000, 9.7735016E-003
 2.2284466E+000, 9.1201244E-003
 2.2486408E+000, 8.3766272E-003
 2.2688350E+000, 7.6849857E-003
 2.2890291E+000, 7.0618717E-003
 2.3092233E+000, 6.2900507E-003
 2.3294175E+000, 5.6502607E-003
 2.3496117E+000, 4.9985658E-003
 2.3698058E+000, 4.3962452E-003
 2.3900000E+000, 2.7347741E-003
