,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,457.90030695999997,750.63405608,667.53237612,519.19138964,430.46059904,325.88922224000004,274.34842876,218.37715780000002,191.4071054,161.51078959999998,145.48674396
1,604.4267766400001,823.50776044,710.7806737200001,574.46315196,474.70892004,357.54224248,285.30940564,233.52409340000003,197.53716412,169.66020024,147.759986
2,658.4011072399999,792.88146388,672.74329524,580.94954884,506.61192000000005,406.39430956,322.00282883999995,257.218674,210.67761516,177.44906532,152.89958500000003
