s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9999999E+001, 1.9999999E+001, 1.9999998E+001, 1.9999945E+001, 1.9999952E+001, 1.9999958E+001, 1.9999963E+001, 1.9999966E+001, 1.9999967E+001, 1.9999977E+001, 1.9999978E+001, 1.9999980E+001, 0.0000000E+000,-1.1330044E-003
 1.0011172E+000, 3.2457443E+002, 2.8426613E+002, 2.3280786E+002, 1.3802431E+002, 7.1397740E+001, 2.3873882E+001, 2.0013358E+001, 2.0008800E+001, 2.0006454E+001, 2.0002118E+001, 2.0001407E+001, 2.0000911E+001, 4.7675354E+001, 3.9913875E+001, 3.1592268E+001, 2.3602590E+001, 2.0703113E+001, 2.0087462E+001, 2.0051981E+001, 2.0035153E+001, 2.0025851E+001, 2.0008820E+001, 2.0005845E+001, 2.0003790E+001, 1.9872692E-001, 1.9872770E-001
 2.0001568E+000, 4.2822151E+002, 6.8894641E+002, 8.2796782E+002, 9.7255758E+002, 9.9361501E+002, 9.3970831E+002, 8.0761252E+002, 6.4971674E+002, 5.3271037E+002, 3.8548071E+002, 3.2516144E+002, 2.6723100E+002, 2.3528481E+002, 3.2049109E+002, 3.5477671E+002, 3.5862012E+002, 3.1903560E+002, 2.7291551E+002, 2.1415816E+002, 1.5603211E+002, 1.2293464E+002, 8.8052986E+001, 7.4083042E+001, 5.9493842E+001, 5.0782650E-001, 5.0784516E-001
 3.0006193E+000, 5.0140112E+002, 7.5206003E+002, 9.0853466E+002, 1.0493963E+003, 1.0912611E+003, 9.2878977E+002, 8.6495593E+002, 7.8434013E+002, 7.3269377E+002, 5.4825309E+002, 4.3795037E+002, 3.9850998E+002, 3.3702858E+002, 5.1297018E+002, 6.0701995E+002, 6.8168287E+002, 6.9256986E+002, 6.3772303E+002, 5.7871197E+002, 4.9113876E+002, 4.1937181E+002, 2.9298283E+002, 2.2985927E+002, 1.9472438E+002, 7.3423667E-001, 7.3430625E-001
 4.0005036E+000, 5.3517429E+002, 7.8054943E+002, 8.7105782E+002, 9.4299224E+002, 9.8182161E+002, 9.1781709E+002, 8.7234332E+002, 7.9180861E+002, 6.6174038E+002, 4.2283038E+002, 3.2189932E+002, 2.7708747E+002, 4.1357254E+002, 6.1212967E+002, 7.0687846E+002, 7.9779198E+002, 8.2814179E+002, 7.7795303E+002, 7.2415340E+002, 6.5742302E+002, 5.8550498E+002, 4.0804060E+002, 3.2598977E+002, 2.8571942E+002, 9.0964780E-001, 9.0979704E-001
 5.0008802E+000, 5.2226778E+002, 8.6819115E+002, 1.0114206E+003, 1.0039923E+003, 1.0035719E+003, 9.9202891E+002, 8.5311986E+002, 6.8606377E+002, 6.2870089E+002, 5.6954141E+002, 4.9222660E+002, 3.8683163E+002, 4.5688467E+002, 6.9301977E+002, 7.9159165E+002, 8.5844928E+002, 8.6755617E+002, 8.3799923E+002, 7.7384989E+002, 6.8725845E+002, 6.0977126E+002, 4.6001742E+002, 3.7360086E+002, 3.0758527E+002, 1.0323416E+000, 1.0326024E+000
 6.0002332E+000, 7.1539858E+002, 8.9798220E+002, 9.4176166E+002, 9.0148650E+002, 7.6007228E+002, 7.4654966E+002, 6.9045411E+002, 5.9471566E+002, 5.0718059E+002, 3.4385890E+002, 3.0224624E+002, 2.7689921E+002, 5.5098432E+002, 7.5593483E+002, 8.2629267E+002, 8.4385621E+002, 8.6177960E+002, 8.4312558E+002, 7.7555270E+002, 6.8713199E+002, 6.1591039E+002, 4.9625618E+002, 4.2000471E+002, 3.4586128E+002, 9.7972392E-001, 9.8011615E-001
 7.0014073E+000, 5.2968536E+002, 7.9068314E+002, 9.3434716E+002, 1.0180715E+003, 1.0157549E+003, 9.0091509E+002, 8.5054722E+002, 8.5768545E+002, 8.3278996E+002, 6.8842214E+002, 5.7724793E+002, 4.6651883E+002, 5.6542812E+002, 7.6336227E+002, 8.4184519E+002, 8.6520941E+002, 8.3923912E+002, 8.1738029E+002, 7.7365110E+002, 7.1300645E+002, 6.3993421E+002, 5.1476616E+002, 4.3038188E+002, 3.4700561E+002, 8.3080612E-001, 8.3134131E-001
 8.0008917E+000, 5.2209422E+002, 8.1486868E+002, 8.8950296E+002, 9.2029691E+002, 9.7505553E+002, 9.6197690E+002, 8.8781090E+002, 7.6006883E+002, 6.3323149E+002, 4.9872266E+002, 3.6875382E+002, 2.7807421E+002, 5.1469513E+002, 7.2199141E+002, 8.0853591E+002, 8.4148686E+002, 8.6927056E+002, 8.3154496E+002, 7.9883601E+002, 7.4956753E+002, 6.9186784E+002, 5.7345403E+002, 4.8461920E+002, 4.0122056E+002, 9.4371357E-001, 9.4438980E-001
