m,kW/m
Height,HRRPUL
 3.6000000E-001, 4.6249901E+001
 4.4333333E-001, 4.9387757E+001
 5.2666667E-001, 5.0667427E+001
 6.1000000E-001, 5.0364336E+001
 6.9333333E-001, 4.8913200E+001
 7.7666667E-001, 4.7236608E+001
 8.6000000E-001, 4.4899810E+001
 9.4333333E-001, 4.2270798E+001
 1.0266667E+000, 3.9344215E+001
 1.1100000E+000, 3.6374527E+001
 1.1933333E+000, 3.3435484E+001
 1.2766667E+000, 3.0605209E+001
 1.3600000E+000, 2.6371632E+001
 1.4433333E+000, 2.3653820E+001
 1.5266667E+000, 2.1068348E+001
 1.6100000E+000, 1.8619662E+001
 1.6933333E+000, 1.6392015E+001
 1.7766667E+000, 1.4316048E+001
 1.8600000E+000, 1.2497903E+001
 1.9433333E+000, 1.0902647E+001
 2.0266667E+000, 9.4216133E+000
 2.1100000E+000, 8.1789741E+000
 2.1933333E+000, 7.5169703E+000
 2.2766667E+000, 8.6103899E+000
 2.3600000E+000, 1.1651328E+001
