m,kW/m
Height,HRRPUL
 3.4000000E-001, 3.8201370E+002
 4.2500000E-001, 1.8697370E+002
 5.1000000E-001, 1.1821254E+002
 5.9500000E-001, 8.7394975E+001
 6.8000000E-001, 6.5869344E+001
 7.6500000E-001, 4.7562928E+001
 8.5000000E-001, 3.3207395E+001
 9.3500000E-001, 2.2702492E+001
 1.0200000E+000, 1.5431870E+001
 1.1050000E+000, 1.0513752E+001
 1.1900000E+000, 7.2089580E+000
 1.2750000E+000, 4.9581446E+000
 1.3600000E+000, 2.4004150E+000
 1.4450000E+000, 1.6871761E+000
 1.5300000E+000, 1.1901360E+000
 1.6150000E+000, 8.4538781E-001
 1.7000000E+000, 6.0088195E-001
 1.7850000E+000, 4.3110305E-001
 1.8700000E+000, 3.0910561E-001
 1.9550000E+000, 2.2356424E-001
 2.0400000E+000, 1.6154790E-001
 2.1250000E+000, 1.1777440E-001
 2.2100000E+000, 8.5505284E-002
 2.2950000E+000, 6.2673428E-002
 2.3800000E+000, 4.5660394E-002
