s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.5000145E+002, 8.2824860E+001,-2.6875868E+001,-5.6729767E+001, 9.4733779E-001, 2.1217473E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6084436E-002, 3.7873791E-001, 1.5996650E-003, 1.5996650E-003
 1.5100124E+002, 7.6973004E+001,-2.4958445E+001,-5.2842370E+001, 7.6839054E-001, 2.1125961E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8628345E-001, 1.5183861E-001, 1.5996650E-003, 1.5996650E-003
 1.5200125E+002, 8.2335984E+001,-2.6649842E+001,-5.6402890E+001, 8.6432479E-001, 2.1319831E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1656786E-002, 3.6077501E-001, 1.5996650E-003, 1.5996650E-003
 1.5300090E+002, 8.1504427E+001,-2.6561526E+001,-5.5462960E+001, 6.6186789E-001, 2.1542603E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2947228E-002, 3.5723431E-001, 1.5996650E-003, 1.5996650E-003
 1.5400063E+002, 7.9922258E+001,-2.5960876E+001,-5.4409218E+001, 5.3883344E-001, 2.1532144E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4580980E-002, 3.0631908E-001, 1.5996650E-003, 1.5996650E-003
 1.5500081E+002, 8.1230219E+001,-2.6358869E+001,-5.5141084E+001, 5.3052031E-001, 2.1316580E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4081313E-001, 4.7395161E-001, 1.5996650E-003, 1.5996650E-003
 1.5600105E+002, 8.0676550E+001,-2.6234978E+001,-5.5125676E+001, 6.5371388E-001, 2.1943882E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5255163E-001, 1.8904848E-001, 1.5996650E-003, 1.5996650E-003
 1.5700040E+002, 7.9907572E+001,-2.5941540E+001,-5.4334081E+001, 5.6803149E-001, 2.1370809E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3128868E-002, 4.1369121E-001, 1.5996650E-003, 1.5996650E-003
 1.5800195E+002, 8.0217295E+001,-2.5987587E+001,-5.4686621E+001, 5.8714614E-001, 2.1967941E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1193072E-002, 3.4991283E-001, 1.5996650E-003, 1.5996650E-003
 1.5900020E+002, 7.9659557E+001,-2.5781337E+001,-5.4732611E+001, 8.0894467E-001, 2.1010247E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8035353E-001, 1.6465533E-001, 1.5996650E-003, 1.5996650E-003
 1.6000150E+002, 8.0684977E+001,-2.6217752E+001,-5.4938392E+001, 7.7001838E-001, 2.1530820E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5607220E-001, 5.1415945E-001, 1.5996650E-003, 1.5996650E-003
 1.6100093E+002, 7.8016689E+001,-2.5130242E+001,-5.3910170E+001, 7.8128751E-001, 2.0759545E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1799223E-001,-3.4840525E-002, 1.5996650E-003, 1.5996650E-003
 1.6200140E+002, 8.2028212E+001,-2.6483445E+001,-5.6145803E+001, 1.0607587E+000, 2.0884649E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6863715E-001, 6.6856935E-001, 1.5996650E-003, 1.5996650E-003
 1.6300046E+002, 8.3143406E+001,-2.6933961E+001,-5.6982087E+001, 9.8225614E-001, 2.1172259E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1793887E-001, 4.2133760E-001, 1.5996650E-003, 1.5996650E-003
 1.6400060E+002, 7.8333908E+001,-2.5315294E+001,-5.3893567E+001, 7.8969360E-001, 2.1240894E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0956919E-001, 1.2714968E-001, 1.5996650E-003, 1.5996650E-003
 1.6500015E+002, 8.0668309E+001,-2.6113361E+001,-5.5416764E+001, 9.3944093E-001, 2.1343661E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2560640E-002, 2.9106148E-001, 1.5996650E-003, 1.5996650E-003
 1.6600067E+002, 7.8708615E+001,-2.5299013E+001,-5.4140945E+001, 7.8092291E-001, 2.1041241E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1344003E-001, 2.5999246E-001, 1.5996650E-003, 1.5996650E-003
