m,kW/m
Height,HRRPUL
 4.0000000E-001, 1.7796487E+002
 4.4583333E-001, 1.7796487E+002
 4.9166667E-001, 1.1248776E+002
 5.3750000E-001, 1.1248776E+002
 5.8333333E-001, 8.6190488E+001
 6.2916667E-001, 8.6190488E+001
 6.7500000E-001, 6.7480723E+001
 7.2083333E-001, 5.0607333E+001
 7.6666667E-001, 5.0607333E+001
 8.1250000E-001, 3.6083108E+001
 8.5833333E-001, 3.6083108E+001
 9.0416667E-001, 2.4982357E+001
 9.5000000E-001, 2.4982357E+001
 9.9583333E-001, 1.7070800E+001
 1.0416667E+000, 1.1701478E+001
 1.0875000E+000, 1.1701478E+001
 1.1333333E+000, 8.0282039E+000
 1.1791667E+000, 8.0282039E+000
 1.2250000E+000, 5.5625001E+000
 1.2708333E+000, 5.5625001E+000
 1.3166667E+000, 3.8644972E+000
 1.3625000E+000, 2.7057830E+000
 1.4083333E+000, 2.7057830E+000
 1.4541667E+000, 1.8961409E+000
 1.5000000E+000, 1.8961409E+000
