s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.3988853E-003,-4.9497164E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3989348E-003, 0.0000000E+000, 0.0000000E+000
 1.0026805E+000, 2.0611032E+001,-7.0261525E+000,-1.1991387E+001,-4.9245215E-001, 1.3280740E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0562792E-001, 1.2338472E+000, 7.0384192E-004, 7.0384192E-004
 2.0001450E+000, 5.6197668E+001,-1.8794368E+001,-3.4489419E+001,-1.6522431E+000, 1.9060970E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2543280E+000, 1.4522483E+000, 1.4266136E-003, 1.4266136E-003
 3.0003181E+000, 8.3381883E+001,-2.8180733E+001,-5.3017366E+001,-2.3375695E+000, 2.0959446E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3182186E-001, 5.5809273E-002, 1.5746479E-003, 1.5746479E-003
 4.0003624E+000, 7.8797070E+001,-2.6649542E+001,-5.0031627E+001,-2.0302242E+000, 2.1199468E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9213320E-002, 2.9767213E-001, 1.5962499E-003, 1.5962499E-003
 5.0004449E+000, 7.7057977E+001,-2.6105564E+001,-4.9072199E+001,-2.0831221E+000, 2.0403835E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1300238E-001, 1.1303452E-003, 1.5992024E-003, 1.5992024E-003
 6.0015202E+000, 8.5694918E+001,-2.8819753E+001,-5.4603521E+001,-2.0278542E+000, 2.0786340E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7054468E-001, 4.5165333E-001, 1.5996024E-003, 1.5996024E-003
 7.0005126E+000, 7.8966065E+001,-2.6565904E+001,-5.0252721E+001,-2.0492005E+000, 2.0322047E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4488578E-003, 3.0146007E-001, 1.5996565E-003, 1.5996565E-003
 8.0011730E+000, 7.7871970E+001,-2.6073279E+001,-5.0192548E+001,-1.6705474E+000, 2.0509709E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2140884E-001, 1.4069199E-001, 1.5996639E-003, 1.5996639E-003
 9.0011272E+000, 8.2691533E+001,-2.7785838E+001,-5.3117871E+001,-1.6640618E+000, 2.0692747E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1154023E-001, 3.3068882E-001, 1.5996649E-003, 1.5996649E-003
 1.0000241E+001, 7.9485502E+001,-2.6630405E+001,-5.0789692E+001,-2.1201659E+000, 2.0653406E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5009358E-001, 1.5177319E-001, 1.5996650E-003, 1.5996650E-003
 1.1000270E+001, 8.3790720E+001,-2.8160131E+001,-5.3432070E+001,-2.1330710E+000, 2.1181465E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7763960E-002, 2.7726205E-001, 1.5996650E-003, 1.5996650E-003
 1.2000468E+001, 7.7633083E+001,-2.6046395E+001,-4.9933965E+001,-1.5937747E+000, 2.1726796E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0100717E-002, 2.7621670E-001, 1.5996650E-003, 1.5996650E-003
 1.3000145E+001, 8.1469568E+001,-2.7339309E+001,-5.2419360E+001,-1.6116348E+000, 2.2033890E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3890359E-003, 3.1960310E-001, 1.5996650E-003, 1.5996650E-003
 1.4001522E+001, 8.2170073E+001,-2.7560225E+001,-5.2529157E+001,-1.7572133E+000, 2.1546144E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1224201E-001, 5.3893868E-001, 1.5996650E-003, 1.5996650E-003
 1.5001541E+001, 8.2726131E+001,-2.7869206E+001,-5.2699500E+001,-1.8804170E+000, 2.1290684E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7397387E-001, 4.8991433E-001, 1.5996650E-003, 1.5996650E-003
 1.6000427E+001, 7.8102693E+001,-2.6173376E+001,-5.0621851E+001,-1.5578072E+000, 2.0635207E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1286738E-001,-4.3989919E-002, 1.5996650E-003, 1.5996650E-003
 1.7000875E+001, 8.0566344E+001,-2.6890855E+001,-5.1444249E+001,-2.0299060E+000, 2.0785386E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6820450E-002, 4.0918772E-001, 1.5996650E-003, 1.5996650E-003
 1.8001314E+001, 7.9808872E+001,-2.6809969E+001,-5.1231722E+001,-1.6652996E+000, 2.0907400E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8703931E-002, 3.1095591E-001, 1.5996650E-003, 1.5996650E-003
 1.9000664E+001, 8.0107825E+001,-2.6863831E+001,-5.1781593E+001,-1.4231293E+000, 2.0459327E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0239220E-002, 2.4386531E-001, 1.5996650E-003, 1.5996650E-003
