m,kW/m
Height,HRRPUL
 3.6000000E-001, 6.3683251E+001
 4.4333333E-001, 6.0462972E+001
 5.2666667E-001, 6.0749505E+001
 6.1000000E-001, 5.8825118E+001
 6.9333333E-001, 5.4870490E+001
 7.7666667E-001, 4.9691933E+001
 8.6000000E-001, 4.4320521E+001
 9.4333333E-001, 3.9026189E+001
 1.0266667E+000, 3.4107700E+001
 1.1100000E+000, 2.9522636E+001
 1.1933333E+000, 2.5262259E+001
 1.2766667E+000, 2.1353892E+001
 1.3600000E+000, 1.4755447E+001
 1.4433333E+000, 1.1983980E+001
 1.5266667E+000, 9.6568668E+000
 1.6100000E+000, 7.6325068E+000
 1.6933333E+000, 5.9938175E+000
 1.7766667E+000, 4.5792367E+000
 1.8600000E+000, 3.4880655E+000
 1.9433333E+000, 2.5941707E+000
 2.0266667E+000, 1.9424382E+000
 2.1100000E+000, 1.4362778E+000
 2.1933333E+000, 1.1679721E+000
 2.2766667E+000, 1.0523769E+000
 2.3600000E+000, 1.1373650E+000
