s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.3008432E+001, 8.0992285E+001,-1.5439260E+001,-6.1358906E+001,-4.2282422E-001,-7.2874652E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8898239E+000, 3.7640067E+000, 1.5996709E-003, 1.5996709E-003
 2.4010187E+001, 7.8890136E+001,-1.4983800E+001,-7.2942716E+001,-3.5442529E-001,-7.5927584E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0033581E+001,-9.3983988E+000, 1.5996709E-003, 1.5996709E-003
 2.5002272E+001, 8.1456004E+001,-1.5528762E+001,-5.9348557E+001,-3.9706637E-001,-7.8449702E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4197041E+000, 6.1737736E+000, 1.5996709E-003, 1.5996709E-003
 2.6004702E+001, 8.0137847E+001,-1.5236426E+001,-5.7443334E+001,-3.5225120E-001,-7.4885523E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8713520E+000, 7.0983466E+000, 1.5996709E-003, 1.5996709E-003
 2.7006693E+001, 8.0981159E+001,-1.5444012E+001,-7.0970695E+001,-4.2524393E-001,-7.6852729E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8598888E+000,-5.8664766E+000, 1.5996709E-003, 1.5996709E-003
 2.8004114E+001, 7.5531165E+001,-1.4271731E+001,-6.0047429E+001,-4.1546940E-001,-7.6976428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5823713E-001, 7.8883784E-001, 1.5996709E-003, 1.5996709E-003
 2.9007587E+001, 8.3110011E+001,-1.5826633E+001,-6.6145740E+001,-3.4954920E-001,-7.5242706E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4943855E-001, 7.8056579E-001, 1.5996709E-003, 1.5996709E-003
 3.0001034E+001, 7.8882595E+001,-1.5029629E+001,-6.1584034E+001,-4.1451546E-001,-7.5720663E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6987828E+000, 1.8468441E+000, 1.5996709E-003, 1.5996709E-003
 3.1007259E+001, 7.7133475E+001,-1.4674519E+001,-6.6087256E+001,-3.7654338E-001,-7.4505046E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3587338E+000,-4.0122933E+000, 1.5996709E-003, 1.5996709E-003
 3.2006783E+001, 8.5359441E+001,-1.6355108E+001,-6.8631450E+001,-3.9468354E-001,-7.5755731E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4996045E-001,-2.9377152E-002, 1.5996709E-003, 1.5996709E-003
 3.3005535E+001, 7.7017421E+001,-1.4510860E+001,-6.1448186E+001,-3.2951198E-001,-7.5493542E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0244845E-001, 7.2131247E-001, 1.5996709E-003, 1.5996709E-003
 3.4003849E+001, 8.0182211E+001,-1.5454497E+001,-5.0074142E+001,-3.5201481E-001,-7.4110936E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4200291E+001, 1.4294147E+001, 1.5996709E-003, 1.5996709E-003
 3.5000229E+001, 7.8739818E+001,-1.5021953E+001,-7.6311947E+001,-3.8791264E-001,-7.3051934E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3135748E+001,-1.2989300E+001, 1.5996709E-003, 1.5996709E-003
 3.6008015E+001, 8.1267201E+001,-1.5351583E+001,-6.1783145E+001,-3.2519949E-001,-7.6915420E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8143378E+000, 3.7995813E+000, 1.5996709E-003, 1.5996709E-003
