m,kW/m
Height,HRRPUL
 3.6000000E-001, 3.8181779E+002
 4.4333333E-001, 1.8847476E+002
 5.2666667E-001, 1.1860328E+002
 6.1000000E-001, 8.7346948E+001
 6.9333333E-001, 6.5594200E+001
 7.7666667E-001, 4.7396771E+001
 8.6000000E-001, 3.2964643E+001
 9.4333333E-001, 2.2514361E+001
 1.0266667E+000, 1.5276752E+001
 1.1100000E+000, 1.0418966E+001
 1.1933333E+000, 7.1206282E+000
 1.2766667E+000, 4.9124937E+000
 1.3600000E+000, 2.3756221E+000
 1.4433333E+000, 1.6636727E+000
 1.5266667E+000, 1.1746835E+000
 1.6100000E+000, 8.2823501E-001
 1.6933333E+000, 5.8923269E-001
 1.7766667E+000, 4.1866673E-001
 1.8600000E+000, 3.0016218E-001
 1.9433333E+000, 2.1495277E-001
 2.0266667E+000, 1.5596452E-001
 2.1100000E+000, 1.1268709E-001
 2.1933333E+000, 8.2216125E-002
 2.2766667E+000, 6.0472232E-002
 2.3600000E+000, 3.5217364E-002
