m,kW/m
Height,HRRPUL
 4.0000000E-001, 1.1211428E+002
 4.4583333E-001, 1.0136806E+002
 4.9166667E-001, 1.0231851E+002
 5.3750000E-001, 1.0463112E+002
 5.8333333E-001, 1.0571597E+002
 6.2916667E-001, 1.0450980E+002
 6.7500000E-001, 1.0104435E+002
 7.2083333E-001, 8.9274279E+001
 7.6666667E-001, 8.1705117E+001
 8.1250000E-001, 7.3456952E+001
 8.5833333E-001, 6.4864755E+001
 9.0416667E-001, 5.6268509E+001
 9.5000000E-001, 4.7963497E+001
 9.9583333E-001, 4.0176258E+001
 1.0416667E+000, 2.6877691E+001
 1.0875000E+000, 2.1489457E+001
 1.1333333E+000, 1.6961894E+001
 1.1791667E+000, 1.3240721E+001
 1.2250000E+000, 1.0244867E+001
 1.2708333E+000, 7.8963149E+000
 1.3166667E+000, 6.0561668E+000
 1.3625000E+000, 3.5458286E+000
 1.4083333E+000, 2.7049530E+000
 1.4541667E+000, 2.0609830E+000
 1.5000000E+000, 1.5709289E+000
