Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,366.9912216,415.3673856,444.6657437,393.2910028,325.6111145,226.158584,165.6349874,125.6147605,99.5140542,82.41496794,70.64801352
0.15,181.6449244,231.7960761,231.3283554,189.7661682,148.8213011,103.5028066,81.91848117,69.20681416,60.97605241,55.32680725,51.68047038
0.305,132.1997173,164.921022,165.2247623,138.6550662,110.4965863,75.61534383,58.50369575,49.02318498,43.99041037,41.62307665,40.79806698
0.61,69.43294746,81.582307,81.11346372,73.61948624,64.15400926,50.60279656,41.77238292,35.15781954,30.25793318,26.92336886,25.16205728
