m,kW/m
Height,HRRPUL
 4.0000000E-001, 1.7934483E+002
 4.4583333E-001, 1.7934483E+002
 4.9166667E-001, 1.1224312E+002
 5.3750000E-001, 1.1224312E+002
 5.8333333E-001, 8.5242547E+001
 6.2916667E-001, 8.5242547E+001
 6.7500000E-001, 6.6920142E+001
 7.2083333E-001, 5.0126149E+001
 7.6666667E-001, 5.0126149E+001
 8.1250000E-001, 3.5529614E+001
 8.5833333E-001, 3.5529614E+001
 9.0416667E-001, 2.4532992E+001
 9.5000000E-001, 2.4532992E+001
 9.9583333E-001, 1.6773725E+001
 1.0416667E+000, 1.1506885E+001
 1.0875000E+000, 1.1506885E+001
 1.1333333E+000, 7.9169391E+000
 1.1791667E+000, 7.9169391E+000
 1.2250000E+000, 5.4848785E+000
 1.2708333E+000, 5.4848785E+000
 1.3166667E+000, 3.8095405E+000
 1.3625000E+000, 2.6604749E+000
 1.4083333E+000, 2.6604749E+000
 1.4541667E+000, 1.8616901E+000
 1.5000000E+000, 1.8616901E+000
