s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000,-9.1384488E-008
 1.0048262E+000, 4.3567984E+002, 3.0071888E+002, 2.1041382E+002, 1.5021492E+002, 7.9931568E+001, 5.5825333E+001, 3.7087956E+001, 2.4969317E+001, 2.0039505E+001, 2.0003923E+001, 2.0003018E+001, 2.0002366E+001, 6.7718338E+001, 4.8072495E+001, 3.7273805E+001, 2.9819376E+001, 2.2340589E+001, 2.0898282E+001, 2.0288285E+001, 2.0097766E+001, 2.0036079E+001, 2.0027930E+001, 2.0021966E+001, 2.0017426E+001,-5.6843419E-017, 3.0225550E-001
 2.0006795E+000, 7.9088096E+002, 8.5682725E+002, 8.1653631E+002, 7.4045278E+002, 5.7523919E+002, 5.0088799E+002, 4.3394353E+002, 3.7603778E+002, 2.8968905E+002, 2.5861901E+002, 2.3978055E+002, 2.1951798E+002, 3.2421600E+002, 3.1496953E+002, 2.7476368E+002, 2.2754103E+002, 1.5042376E+002, 1.2436588E+002, 1.0573612E+002, 9.1342127E+001, 7.3006826E+001, 6.6335987E+001, 6.0528767E+001, 5.4755850E+001,-5.6843419E-017, 1.7776587E+000
 3.0017127E+000, 7.8392802E+002, 8.1553538E+002, 7.8375644E+002, 7.3858795E+002, 6.3063773E+002, 5.8388457E+002, 5.4679890E+002, 5.0377715E+002, 4.0694564E+002, 3.5683949E+002, 3.1002521E+002, 2.7506421E+002, 5.3698912E+002, 5.6413737E+002, 5.3780137E+002, 4.9070045E+002, 3.8118775E+002, 3.3337490E+002, 2.9156671E+002, 2.5236449E+002, 1.9073297E+002, 1.6662480E+002, 1.4862103E+002, 1.3327870E+002,-5.6843419E-017, 2.5364558E+000
 4.0014242E+000, 8.4830155E+002, 9.3319631E+002, 9.1256643E+002, 8.2778667E+002, 6.2896805E+002, 5.4951858E+002, 4.8708644E+002, 4.3894431E+002, 3.6234222E+002, 3.2754359E+002, 3.0172629E+002, 2.7409014E+002, 6.5226194E+002, 6.9153318E+002, 6.6641624E+002, 6.1518261E+002, 4.9291483E+002, 4.3773845E+002, 3.9020125E+002, 3.4484632E+002, 2.7159862E+002, 2.4206969E+002, 2.1845051E+002, 1.9805001E+002,-5.6843419E-017, 2.6304375E+000
 5.0014866E+000, 7.6030170E+002, 7.1794972E+002, 6.5711164E+002, 5.9532703E+002, 4.7099489E+002, 4.1107407E+002, 3.5064086E+002, 3.0173155E+002, 2.3311417E+002, 2.1331092E+002, 2.0670583E+002, 2.0205317E+002, 7.1091103E+002, 7.3377931E+002, 7.0630197E+002, 6.5178312E+002, 5.1516895E+002, 4.5266234E+002, 3.9973246E+002, 3.5502397E+002, 2.8755664E+002, 2.6064275E+002, 2.3957964E+002, 2.1994268E+002,-5.6843419E-017, 2.1960550E+000
 6.0082135E+000, 7.7285906E+002, 7.8085604E+002, 6.8451789E+002, 5.8568281E+002, 4.2002229E+002, 3.5847995E+002, 3.0620265E+002, 2.6570320E+002, 2.1500270E+002, 1.9526461E+002, 1.7306498E+002, 1.5699888E+002, 7.1683133E+002, 7.2525667E+002, 6.8375971E+002, 6.2224726E+002, 4.8665503E+002, 4.2706792E+002, 3.7453248E+002, 3.3250026E+002, 2.6854966E+002, 2.4179187E+002, 2.2132239E+002, 2.0276599E+002,-5.6843419E-017, 2.2962720E+000
 7.0112351E+000, 7.7000536E+002, 8.5363019E+002, 8.1660848E+002, 7.4321036E+002, 5.8530881E+002, 5.1795564E+002, 4.6241307E+002, 4.1514732E+002, 3.3611137E+002, 3.0284496E+002, 2.6862948E+002, 2.3440968E+002, 7.0932748E+002, 7.4795622E+002, 7.1158841E+002, 6.5054335E+002, 5.0913235E+002, 4.4720709E+002, 3.9295497E+002, 3.4803797E+002, 2.8047137E+002, 2.5218644E+002, 2.2742737E+002, 2.0522572E+002,-5.6843419E-017, 2.1984702E+000
 8.0030116E+000, 7.9564393E+002, 7.9221636E+002, 6.9178650E+002, 5.8425499E+002, 4.3832389E+002, 3.8838961E+002, 3.3713726E+002, 2.8880414E+002, 2.0988558E+002, 1.8403512E+002, 1.6664357E+002, 1.5238810E+002, 7.2669929E+002, 7.6228773E+002, 7.1981036E+002, 6.5417240E+002, 5.1435148E+002, 4.5384076E+002, 3.9925876E+002, 3.5301138E+002, 2.8032060E+002, 2.5118195E+002, 2.2610715E+002, 2.0396117E+002,-5.6843419E-017, 2.6944394E+000
 9.0081204E+000, 6.2234914E+002, 6.4370673E+002, 5.8430541E+002, 5.0958010E+002, 3.7115692E+002, 3.3084255E+002, 3.0168851E+002, 2.8069239E+002, 2.4582472E+002, 2.3552410E+002, 2.2608405E+002, 2.1262499E+002, 6.9135602E+002, 7.1594622E+002, 6.7092007E+002, 6.0696585E+002, 4.7675510E+002, 4.2326525E+002, 3.7571536E+002, 3.3675001E+002, 2.7308040E+002, 2.4785241E+002, 2.2626511E+002, 2.0547872E+002,-5.6843419E-017, 2.2587968E+000
 1.0004887E+001, 7.3649237E+002, 7.8799545E+002, 7.2308006E+002, 6.3264026E+002, 4.8217601E+002, 4.2320048E+002, 3.7198694E+002, 3.3326257E+002, 2.7910390E+002, 2.6097789E+002, 2.4794533E+002, 2.4186199E+002, 6.6114455E+002, 7.1451825E+002, 6.8062460E+002, 6.1652525E+002, 4.7713689E+002, 4.2340727E+002, 3.7749105E+002, 3.3975901E+002, 2.7898673E+002, 2.5666110E+002, 2.3757886E+002, 2.1969364E+002,-5.6843419E-017, 2.3266569E+000
 1.1000576E+001, 8.3809223E+002, 8.4982545E+002, 7.4485636E+002, 6.1878526E+002, 4.2868964E+002, 3.5188481E+002, 2.8739162E+002, 2.3343897E+002, 1.6232145E+002, 1.4055448E+002, 1.2233599E+002, 1.0745528E+002, 7.1650217E+002, 7.2861869E+002, 6.6496045E+002, 5.8573055E+002, 4.4621697E+002, 3.9422910E+002, 3.4980922E+002, 3.1328612E+002, 2.5623040E+002, 2.3591097E+002, 2.1904059E+002, 2.0485195E+002,-5.6843419E-017, 2.4474044E+000
 1.2008172E+001, 7.9589595E+002, 7.7842308E+002, 6.8978839E+002, 5.8931646E+002, 4.0944868E+002, 3.4088876E+002, 3.0403187E+002, 2.7822845E+002, 2.3807353E+002, 2.2459110E+002, 2.1399950E+002, 2.0454372E+002, 7.2525936E+002, 7.3812353E+002, 6.8233296E+002, 6.0091832E+002, 4.5576612E+002, 4.0046554E+002, 3.5418836E+002, 3.1527373E+002, 2.5551148E+002, 2.3422260E+002, 2.1596407E+002, 2.0100910E+002,-5.6843419E-017, 2.3117316E+000
 1.3008874E+001, 7.2027421E+002, 8.5932102E+002, 8.4503620E+002, 7.7964764E+002, 6.5089481E+002, 5.8880663E+002, 5.1844740E+002, 4.4854576E+002, 3.5888584E+002, 3.1782320E+002, 2.7526356E+002, 2.3985284E+002, 7.1955434E+002, 7.5688235E+002, 7.1734319E+002, 6.4692660E+002, 4.9988076E+002, 4.3385279E+002, 3.8019569E+002, 3.3417715E+002, 2.6888476E+002, 2.4378219E+002, 2.2146737E+002, 2.0386267E+002,-5.6843419E-017, 2.5201353E+000
 1.4003172E+001, 6.1875330E+002, 6.3669897E+002, 6.0585545E+002, 5.6474570E+002, 4.7097896E+002, 4.2449028E+002, 3.7928182E+002, 3.4185474E+002, 2.9879234E+002, 2.8550364E+002, 2.6750680E+002, 2.4856067E+002, 6.7432355E+002, 7.4507506E+002, 7.3494921E+002, 6.8703581E+002, 5.5629224E+002, 4.9360293E+002, 4.3834022E+002, 3.8636176E+002, 3.0884023E+002, 2.7863555E+002, 2.5038913E+002, 2.2733840E+002,-5.6843419E-017, 2.3622120E+000
 1.5008218E+001, 6.3685231E+002, 6.9372547E+002, 6.3618766E+002, 5.7140008E+002, 4.7008771E+002, 4.1018118E+002, 3.5335197E+002, 3.0610112E+002, 2.1261238E+002, 1.8478055E+002, 1.6904148E+002, 1.5553109E+002, 6.5087669E+002, 7.0164566E+002, 6.8572413E+002, 6.3956401E+002, 5.2060272E+002, 4.6437753E+002, 4.1263256E+002, 3.6432524E+002, 2.8987956E+002, 2.6281580E+002, 2.3890429E+002, 2.1839748E+002,-5.6843419E-017, 2.0264745E+000
 1.6003151E+001, 6.6980936E+002, 8.0272251E+002, 8.0495116E+002, 7.7249799E+002, 6.5472952E+002, 5.9778022E+002, 5.3370438E+002, 4.6243705E+002, 3.5932773E+002, 3.1610765E+002, 2.8120048E+002, 2.5068420E+002, 6.4435614E+002, 7.0581732E+002, 6.8502609E+002, 6.3913654E+002, 5.2634858E+002, 4.6945059E+002, 4.1414890E+002, 3.6414753E+002, 2.8534077E+002, 2.5588107E+002, 2.3191954E+002, 2.1085417E+002,-5.6843419E-017, 2.7203268E+000
