m,kW/m
Height,HRRPUL
 3.4000000E-001, 4.1680391E+002
 3.8080000E-001, 2.0516856E+002
 4.2160000E-001, 1.3556035E+002
 4.6240000E-001, 1.1898630E+002
 5.0320000E-001, 1.1473772E+002
 5.4400000E-001, 1.1197638E+002
 5.8480000E-001, 1.0827704E+002
 6.2560000E-001, 1.0305354E+002
 6.6640000E-001, 9.6430285E+001
 7.0720000E-001, 8.8788122E+001
 7.4800000E-001, 8.0549525E+001
 7.8880000E-001, 7.1974254E+001
 8.2960000E-001, 6.3006355E+001
 8.7040000E-001, 5.4305753E+001
 9.1120000E-001, 4.5949914E+001
 9.5200000E-001, 3.8334524E+001
 9.9280000E-001, 3.1521401E+001
 1.0336000E+000, 2.5541340E+001
 1.0744000E+000, 2.0426463E+001
 1.1152000E+000, 1.6159342E+001
 1.1560000E+000, 1.2643481E+001
 1.1968000E+000, 9.8019502E+000
 1.2376000E+000, 7.5658976E+000
 1.2784000E+000, 5.8143551E+000
 1.3192000E+000, 4.4510328E+000
 1.3600000E+000, 2.6080205E+000
 1.4008000E+000, 1.9913133E+000
 1.4416000E+000, 1.5226568E+000
 1.4824000E+000, 1.1626585E+000
 1.5232000E+000, 8.8871311E-001
 1.5640000E+000, 6.7953366E-001
 1.6048000E+000, 5.1890623E-001
 1.6456000E+000, 3.9784120E-001
 1.6864000E+000, 3.0558426E-001
 1.7272000E+000, 2.3522013E-001
 1.7680000E+000, 1.8099421E-001
 1.8088000E+000, 1.3947637E-001
 1.8496000E+000, 1.0752737E-001
 1.8904000E+000, 8.3150007E-002
 1.9312000E+000, 6.4218984E-002
 1.9720000E+000, 4.9756813E-002
 2.0128000E+000, 3.8540858E-002
 2.0536000E+000, 2.9945904E-002
 2.0944000E+000, 2.3288214E-002
 2.1352000E+000, 1.8209298E-002
 2.1760000E+000, 1.4180189E-002
 2.2168000E+000, 1.1145547E-002
 2.2576000E+000, 8.7563247E-003
 2.2984000E+000, 6.8783398E-003
 2.3392000E+000, 5.4955751E-003
 2.3800000E+000, 3.2885723E-003
