s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000,-9.1384488E-008
 1.0029641E+000, 4.3497764E+002, 2.9991260E+002, 2.0979827E+002, 1.5008534E+002, 7.9647590E+001, 5.5429159E+001, 3.6669628E+001, 2.4743902E+001, 2.0033964E+001, 2.0003846E+001, 2.0002966E+001, 2.0002324E+001, 6.7564471E+001, 4.7941062E+001, 3.7161500E+001, 2.9764564E+001, 2.2302550E+001, 2.0874895E+001, 2.0277809E+001, 2.0094679E+001, 2.0035474E+001, 2.0027473E+001, 2.0021607E+001, 2.0017142E+001,-5.6843419E-017, 3.0138092E-001
 2.0061035E+000, 8.0489354E+002, 8.7601165E+002, 8.4009330E+002, 7.6554827E+002, 5.9891885E+002, 5.2471933E+002, 4.5519323E+002, 3.9251150E+002, 3.0081859E+002, 2.6599126E+002, 2.4653095E+002, 2.2545174E+002, 3.2650038E+002, 3.1837613E+002, 2.7846804E+002, 2.3134355E+002, 1.5362604E+002, 1.2753237E+002, 1.0821796E+002, 9.3795462E+001, 7.5001037E+001, 6.7905521E+001, 6.2204474E+001, 5.5937806E+001,-5.6843419E-017, 1.6734630E+000
 3.0026126E+000, 8.1172845E+002, 8.5792466E+002, 8.3327229E+002, 7.8251723E+002, 6.6588182E+002, 6.1165221E+002, 5.7104661E+002, 5.2601593E+002, 4.0637752E+002, 3.5221805E+002, 3.0702191E+002, 2.7550966E+002, 5.4627922E+002, 5.7761864E+002, 5.5233248E+002, 5.0442010E+002, 3.9621687E+002, 3.4730154E+002, 3.0429686E+002, 2.6343544E+002, 1.9503869E+002, 1.6952316E+002, 1.5166116E+002, 1.3628259E+002,-5.6843419E-017, 2.1884650E+000
 4.0039840E+000, 8.4531716E+002, 9.0397939E+002, 8.7090667E+002, 7.9759751E+002, 6.4925462E+002, 6.0264081E+002, 5.5840278E+002, 5.1979648E+002, 4.4633646E+002, 4.1432189E+002, 3.7926747E+002, 3.4769169E+002, 6.5411548E+002, 7.0080025E+002, 6.8184259E+002, 6.3370846E+002, 5.1501933E+002, 4.6090780E+002, 4.1243848E+002, 3.6682855E+002, 2.8459787E+002, 2.5217665E+002, 2.2705446E+002, 2.0555280E+002,-5.6843419E-017, 2.4177309E+000
 5.0083124E+000, 7.6240667E+002, 7.4313559E+002, 6.5119340E+002, 5.7025191E+002, 4.4796346E+002, 3.8500228E+002, 3.2572338E+002, 2.7488549E+002, 2.1553310E+002, 1.9963286E+002, 1.8606815E+002, 1.7417130E+002, 7.0802393E+002, 7.2195574E+002, 6.8079860E+002, 6.2418791E+002, 5.1119625E+002, 4.6426059E+002, 4.2176469E+002, 3.8489721E+002, 3.1653405E+002, 2.9001633E+002, 2.6697375E+002, 2.4800028E+002,-5.6843419E-017, 1.9911460E+000
 6.0092164E+000, 7.5746043E+002, 8.2451693E+002, 7.3905269E+002, 6.3718321E+002, 5.2558595E+002, 4.9231516E+002, 4.6287046E+002, 4.2186805E+002, 3.2420333E+002, 2.7244073E+002, 2.3049755E+002, 2.0119800E+002, 7.0392208E+002, 7.4582610E+002, 7.0358756E+002, 6.4301849E+002, 5.3207105E+002, 4.8166429E+002, 4.3424745E+002, 3.8719725E+002, 3.0425580E+002, 2.7142111E+002, 2.4501646E+002, 2.2480723E+002,-5.6843419E-017, 2.0510837E+000
 7.0094679E+000, 7.2011758E+002, 7.8325781E+002, 7.5502719E+002, 6.7979624E+002, 5.2161258E+002, 4.6133724E+002, 4.0383811E+002, 3.5635224E+002, 2.9560264E+002, 2.7292352E+002, 2.5344015E+002, 2.3352705E+002, 6.8527915E+002, 7.3180608E+002, 7.0159679E+002, 6.4604785E+002, 5.3201033E+002, 4.8071957E+002, 4.3365489E+002, 3.8882702E+002, 3.0902254E+002, 2.7469904E+002, 2.4553709E+002, 2.2189325E+002,-5.6843419E-017, 2.1744600E+000
 8.0103986E+000, 6.3842935E+002, 7.9192950E+002, 8.1896021E+002, 7.8331645E+002, 6.2580253E+002, 5.5046425E+002, 4.8596008E+002, 4.1585493E+002, 2.9553734E+002, 2.4976886E+002, 2.1960145E+002, 1.9653063E+002, 6.7351826E+002, 7.3183005E+002, 7.1987394E+002, 6.7754808E+002, 5.6239799E+002, 5.0651984E+002, 4.5234673E+002, 3.9745823E+002, 3.0694322E+002, 2.7173063E+002, 2.4392291E+002, 2.2121024E+002,-5.6843419E-017, 2.1763125E+000
 9.0055618E+000, 8.4525577E+002, 8.2220959E+002, 7.5339119E+002, 6.7742602E+002, 5.6478072E+002, 4.9922543E+002, 4.3644206E+002, 3.7745870E+002, 2.8790459E+002, 2.4998417E+002, 2.1789252E+002, 1.9023650E+002, 6.8652626E+002, 7.3867160E+002, 7.2935346E+002, 6.9478987E+002, 5.9310155E+002, 5.3230152E+002, 4.7097613E+002, 4.0781963E+002, 3.0655061E+002, 2.6791712E+002, 2.3885420E+002, 2.1578574E+002,-5.6843419E-017, 2.3738098E+000
 1.0008071E+001, 5.4918950E+002, 6.0310982E+002, 5.8639092E+002, 5.3963148E+002, 4.2805547E+002, 3.6361074E+002, 3.0654271E+002, 2.5510372E+002, 1.8689545E+002, 1.6667726E+002, 1.5743207E+002, 1.5652361E+002, 6.7868143E+002, 7.2914088E+002, 7.1714521E+002, 6.7481651E+002, 5.5392630E+002, 4.8789707E+002, 4.2859230E+002, 3.7119231E+002, 2.8346321E+002, 2.5062045E+002, 2.2588224E+002, 2.0636749E+002,-5.6843419E-017, 1.9669036E+000
 1.1005327E+001, 7.0302402E+002, 7.8678698E+002, 7.8938307E+002, 7.2563435E+002, 5.1921518E+002, 4.3554475E+002, 3.7273244E+002, 3.2462138E+002, 2.3255286E+002, 1.9543574E+002, 1.7160824E+002, 1.5425158E+002, 6.4030013E+002, 7.0573738E+002, 7.1476738E+002, 6.7711089E+002, 5.4309037E+002, 4.7206424E+002, 4.0890379E+002, 3.5279843E+002, 2.6362983E+002, 2.3021739E+002, 2.0680627E+002, 1.8988044E+002,-5.6843419E-017, 2.1920190E+000
 1.2008018E+001, 7.3273936E+002, 7.4751751E+002, 6.8846999E+002, 6.0015008E+002, 4.2460235E+002, 3.5470217E+002, 2.9261032E+002, 2.4067220E+002, 2.0356446E+002, 1.9629031E+002, 1.8696496E+002, 1.7788305E+002, 6.8405426E+002, 7.1845471E+002, 6.9362184E+002, 6.3508481E+002, 5.0331112E+002, 4.4111988E+002, 3.8469472E+002, 3.3446587E+002, 2.5454574E+002, 2.2357818E+002, 2.0100370E+002, 1.8345395E+002,-5.6843419E-017, 2.1922918E+000
 1.3002268E+001, 7.0006034E+002, 7.0761194E+002, 6.8128893E+002, 6.3979133E+002, 5.2169054E+002, 4.5586439E+002, 3.9843458E+002, 3.5430737E+002, 2.6840705E+002, 2.3707800E+002, 2.1225930E+002, 1.9318714E+002, 6.5668471E+002, 6.9850471E+002, 6.9184930E+002, 6.5322487E+002, 5.2364213E+002, 4.5234818E+002, 3.8955052E+002, 3.3694372E+002, 2.5620056E+002, 2.2672562E+002, 2.0455947E+002, 1.8766448E+002,-5.6843419E-017, 2.2467944E+000
 1.4008690E+001, 6.7569410E+002, 6.9351721E+002, 6.4529342E+002, 5.9959484E+002, 4.7248925E+002, 4.1154218E+002, 3.6145982E+002, 3.2147487E+002, 2.7777037E+002, 2.6431456E+002, 2.5106697E+002, 2.3813506E+002, 6.6077838E+002, 6.9809287E+002, 6.7652765E+002, 6.2759427E+002, 4.9565718E+002, 4.3109799E+002, 3.7569140E+002, 3.3046097E+002, 2.6123183E+002, 2.3517007E+002, 2.1438997E+002, 1.9771717E+002,-5.6843419E-017, 1.9733219E+000
 1.5008432E+001, 7.2588326E+002, 8.4045707E+002, 7.5550376E+002, 6.4587673E+002, 4.7509722E+002, 4.2328692E+002, 3.7331558E+002, 3.3919692E+002, 2.7520025E+002, 2.4388716E+002, 2.1773818E+002, 1.9829619E+002, 6.4630809E+002, 7.0729129E+002, 6.8708856E+002, 6.3699823E+002, 4.9914625E+002, 4.3448643E+002, 3.7763998E+002, 3.3436229E+002, 2.7117875E+002, 2.4663803E+002, 2.2664131E+002, 2.1015067E+002,-5.6843419E-017, 2.2854655E+000
 1.6003345E+001, 7.9121698E+002, 8.9345543E+002, 8.8215164E+002, 8.1972888E+002, 6.8053754E+002, 6.0580824E+002, 5.3369113E+002, 4.6936658E+002, 3.6520413E+002, 3.2880337E+002, 3.0731455E+002, 2.8032570E+002, 7.0470319E+002, 7.5566198E+002, 7.1847439E+002, 6.5720330E+002, 5.1645043E+002, 4.5244704E+002, 3.9496231E+002, 3.5140080E+002, 2.8519327E+002, 2.5828915E+002, 2.3679729E+002, 2.1745968E+002,-5.6843419E-017, 2.2489589E+000
