m,kW/m
Height,HRRPUL
 3.4000000E-001, 4.1655105E+002
 3.8080000E-001, 2.0761645E+002
 4.2160000E-001, 1.3690876E+002
 4.6240000E-001, 1.1985492E+002
 5.0320000E-001, 1.1528810E+002
 5.4400000E-001, 1.1227809E+002
 5.8480000E-001, 1.0838977E+002
 6.2560000E-001, 1.0310907E+002
 6.6640000E-001, 9.6613754E+001
 7.0720000E-001, 8.8871290E+001
 7.4800000E-001, 8.0492945E+001
 7.8880000E-001, 7.1737575E+001
 8.2960000E-001, 6.2883695E+001
 8.7040000E-001, 5.4104771E+001
 9.1120000E-001, 4.5635507E+001
 9.5200000E-001, 3.7782807E+001
 9.9280000E-001, 3.0784353E+001
 1.0336000E+000, 2.4729520E+001
 1.0744000E+000, 1.9600030E+001
 1.1152000E+000, 1.5375260E+001
 1.1560000E+000, 1.1943399E+001
 1.1968000E+000, 9.1845137E+000
 1.2376000E+000, 7.0227186E+000
 1.2784000E+000, 5.3687748E+000
 1.3192000E+000, 4.1022980E+000
 1.3600000E+000, 2.3802588E+000
 1.4008000E+000, 1.8179191E+000
 1.4416000E+000, 1.3889887E+000
 1.4824000E+000, 1.0637732E+000
 1.5232000E+000, 8.1466839E-001
 1.5640000E+000, 6.2585558E-001
 1.6048000E+000, 4.8032118E-001
 1.6456000E+000, 3.6938437E-001
 1.6864000E+000, 2.8384070E-001
 1.7272000E+000, 2.1889058E-001
 1.7680000E+000, 1.6916619E-001
 1.8088000E+000, 1.3092776E-001
 1.8496000E+000, 1.0155908E-001
 1.8904000E+000, 7.9087034E-002
 1.9312000E+000, 6.1657606E-002
 1.9720000E+000, 4.8251315E-002
 2.0128000E+000, 3.7769770E-002
 2.0536000E+000, 2.9662648E-002
 2.0944000E+000, 2.3310021E-002
 2.1352000E+000, 1.8405261E-002
 2.1760000E+000, 1.4510355E-002
 2.2168000E+000, 1.1513522E-002
 2.2576000E+000, 9.1395526E-003
 2.2984000E+000, 7.2556246E-003
 2.3392000E+000, 5.8482443E-003
 2.3800000E+000, 3.5541314E-003
