s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9999999E+001, 1.9999999E+001, 1.9999998E+001, 1.9999945E+001, 1.9999952E+001, 1.9999958E+001, 1.9999963E+001, 1.9999966E+001, 1.9999967E+001, 1.9999977E+001, 1.9999978E+001, 1.9999980E+001, 0.0000000E+000,-1.1330044E-003
 1.0010602E+000, 3.1787169E+002, 2.7382416E+002, 2.1938376E+002, 1.3464484E+002, 7.2750182E+001, 2.4407217E+001, 2.0014280E+001, 2.0009425E+001, 2.0006895E+001, 2.0002205E+001, 2.0001447E+001, 2.0000925E+001, 4.6560998E+001, 3.8460985E+001, 3.0400837E+001, 2.3360130E+001, 2.0758594E+001, 2.0093998E+001, 2.0055826E+001, 2.0037737E+001, 2.0027683E+001, 2.0009187E+001, 2.0006021E+001, 2.0003855E+001, 2.1551302E-001, 2.1551387E-001
 2.0013102E+000, 5.0009285E+002, 7.3209359E+002, 8.5090533E+002, 9.9154337E+002, 9.9194503E+002, 9.4000221E+002, 8.5988578E+002, 7.0542333E+002, 5.8261387E+002, 4.4551321E+002, 3.4030082E+002, 2.2256603E+002, 2.3531223E+002, 3.1562642E+002, 3.3782803E+002, 3.4779068E+002, 3.1452776E+002, 2.8096122E+002, 2.3938880E+002, 1.7572104E+002, 1.3645967E+002, 9.5429761E+001, 7.5417964E+001, 5.4638968E+001, 5.8274009E-001, 5.8276132E-001
 3.0014655E+000, 5.1501711E+002, 7.2899978E+002, 8.3539089E+002, 8.7352578E+002, 9.2320067E+002, 8.5500109E+002, 7.6988527E+002, 6.7295073E+002, 5.8903794E+002, 5.0389755E+002, 4.2827873E+002, 3.6585556E+002, 3.6164907E+002, 5.1658995E+002, 5.9124977E+002, 6.5182394E+002, 6.4112770E+002, 6.0843057E+002, 5.7649302E+002, 4.8361884E+002, 4.0367028E+002, 3.1103724E+002, 2.5465046E+002, 1.8458621E+002, 8.7713618E-001, 8.7721688E-001
 4.0004026E+000, 7.5711917E+002, 1.0086907E+003, 9.7601850E+002, 9.6985585E+002, 9.4229835E+002, 8.4015340E+002, 7.5400895E+002, 6.4377337E+002, 5.6693395E+002, 4.7997587E+002, 4.4306118E+002, 3.6938059E+002, 5.0492277E+002, 6.8682401E+002, 7.3080703E+002, 7.7614392E+002, 7.9172779E+002, 7.3348652E+002, 6.7466084E+002, 5.8362935E+002, 4.9938711E+002, 3.9159618E+002, 3.1753185E+002, 2.4660396E+002, 1.0204106E+000, 1.0205856E+000
 5.0008548E+000, 4.9008393E+002, 7.1715837E+002, 8.1577545E+002, 8.7739380E+002, 8.4822007E+002, 8.5823908E+002, 7.9382198E+002, 6.7130329E+002, 5.2254715E+002, 3.7625944E+002, 3.5565148E+002, 3.1718751E+002, 5.4088004E+002, 7.2148072E+002, 7.7369063E+002, 8.1635792E+002, 8.3223578E+002, 7.9029822E+002, 7.3767204E+002, 6.4809554E+002, 5.6117669E+002, 4.5014088E+002, 3.9103412E+002, 3.1479335E+002, 9.9584719E-001, 9.9614405E-001
 6.0012811E+000, 6.0502005E+002, 8.4220238E+002, 9.0587961E+002, 9.8904055E+002, 9.7891797E+002, 8.9872856E+002, 7.7160110E+002, 7.2858297E+002, 6.1630421E+002, 4.3844063E+002, 3.4909706E+002, 2.9460258E+002, 5.2646986E+002, 7.3249152E+002, 7.9122712E+002, 8.3811192E+002, 8.3640142E+002, 8.0653715E+002, 7.4753439E+002, 6.6791825E+002, 5.6120975E+002, 4.4478479E+002, 3.8354944E+002, 3.1048192E+002, 8.4957472E-001, 8.4999600E-001
 7.0011188E+000, 6.2788070E+002, 7.9382507E+002, 9.1855116E+002, 1.0153278E+003, 1.0163980E+003, 9.9826659E+002, 8.0886707E+002, 7.2832285E+002, 6.9710370E+002, 6.1950642E+002, 5.1831360E+002, 4.2470381E+002, 5.6832274E+002, 7.6063024E+002, 8.2579243E+002, 8.7819575E+002, 8.8713666E+002, 8.6359718E+002, 7.8104275E+002, 7.1986500E+002, 6.2993988E+002, 4.9538386E+002, 4.2390301E+002, 3.4622506E+002, 8.4419194E-001, 8.4475203E-001
 8.0016456E+000, 4.4754480E+002, 7.4393529E+002, 8.3569851E+002, 9.2253886E+002, 9.2166075E+002, 8.7855571E+002, 8.4099145E+002, 7.8334986E+002, 7.0666875E+002, 6.0555120E+002, 5.3893108E+002, 4.2892513E+002, 5.4335562E+002, 6.9982240E+002, 7.7130623E+002, 8.4062008E+002, 8.5592586E+002, 8.5408060E+002, 7.8110958E+002, 7.2347709E+002, 6.5743534E+002, 5.5928128E+002, 4.7164705E+002, 3.7794566E+002, 9.6118964E-001, 9.6189813E-001
