s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.7900398E+002, 8.0418974E+001,-1.5498838E+001,-5.2379490E+001,-7.8210971E+000,-5.2685980E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9244031E+000, 4.7142803E+000, 1.5996709E-003, 1.5996709E-003
 1.8000275E+002, 8.1955906E+001,-1.5554359E+001,-5.6856606E+001,-7.7468044E+000,-5.5824495E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0458550E+000, 1.7925542E+000, 1.5996709E-003, 1.5996709E-003
 1.8100002E+002, 7.7617924E+001,-1.4975568E+001,-5.3817198E+001,-9.6342117E+000,-5.3091794E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8826175E-001,-8.1436290E-001, 1.5996709E-003, 1.5996709E-003
 1.8200046E+002, 7.9163327E+001,-1.4890494E+001,-6.3442273E+001,-7.4955840E+000,-5.3902787E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5213930E+000,-6.6704146E+000, 1.5996709E-003, 1.5996709E-003
 1.8300185E+002, 7.9938691E+001,-1.5094401E+001,-5.6040505E+001,-6.8815438E+000,-5.3302525E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0304828E+000, 1.9169101E+000, 1.5996709E-003, 1.5996709E-003
 1.8400264E+002, 8.1794268E+001,-1.5589946E+001,-5.5613369E+001,-7.6600119E+000,-5.4096700E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2128072E+000, 2.9255319E+000, 1.5996709E-003, 1.5996709E-003
 1.8500122E+002, 7.6380476E+001,-1.4483543E+001,-5.6217820E+001,-7.3433819E+000,-5.4495051E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4975818E+000,-1.6697189E+000, 1.5996709E-003, 1.5996709E-003
 1.8600078E+002, 8.3223649E+001,-1.6105838E+001,-6.1146601E+001,-8.7183783E+000,-5.4147965E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5408852E+000,-2.7525839E+000, 1.5996709E-003, 1.5996709E-003
 1.8700252E+002, 7.7371371E+001,-1.4734647E+001,-5.9589315E+001,-7.3088449E+000,-5.3574215E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9870673E+000,-4.2667927E+000, 1.5996709E-003, 1.5996709E-003
 1.8800130E+002, 8.2347712E+001,-1.6039115E+001,-5.6782036E+001,-9.3020094E+000,-5.4699181E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2723796E-001, 2.1908219E-001, 1.5996709E-003, 1.5996709E-003
 1.8900221E+002, 8.2389279E+001,-1.5763472E+001,-5.7012013E+001,-8.5766495E+000,-5.4476159E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1749645E+000, 1.0316969E+000, 1.5996709E-003, 1.5996709E-003
 1.9000391E+002, 7.3866462E+001,-1.3990783E+001,-5.7924994E+001,-7.5372017E+000,-5.2940528E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4433413E+000,-5.5918109E+000, 1.5996709E-003, 1.5996709E-003
 1.9100314E+002, 8.5975781E+001,-1.6348953E+001,-5.5830510E+001,-8.5819520E+000,-5.6059212E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4529186E+000, 5.2087598E+000, 1.5996709E-003, 1.5996709E-003
 1.9200121E+002, 7.8299928E+001,-1.4810324E+001,-5.5123836E+001,-8.2724473E+000,-5.3401519E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1803781E-001, 8.7980537E-002, 1.5996709E-003, 1.5996709E-003
