s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.4900677E+001, 9.1509165E+003,-2.9805090E+003,-6.1638394E+003,-1.0634877E+002, 4.7629509E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4510677E+002,-9.5017728E+001, 5.2134146E-001
 2.5202070E+001, 8.6962431E+003,-2.7684345E+003,-5.8203689E+003,-9.8326469E+001, 4.6902302E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8547591E+001, 1.3803453E+001, 5.2134146E-001
 2.5501442E+001, 7.5500289E+003,-2.4284073E+003,-5.0963503E+003,-8.5557767E+001, 3.9816376E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0183013E+002,-5.6304788E+001, 5.2134146E-001
 2.5800179E+001, 6.9537757E+003,-2.2222948E+003,-4.7010295E+003,-8.3115104E+001, 4.1614546E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0566756E+001,-4.8502223E+001, 5.2134146E-001
 2.6100899E+001, 9.7135169E+003,-3.0921698E+003,-6.3980407E+003,-6.0691801E+001, 4.1729163E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7250179E+002, 1.6678755E+002, 5.2134146E-001
 2.6401798E+001, 7.5344754E+003,-2.3994452E+003,-5.2410390E+003,-4.8447563E+001, 3.8071545E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9401268E+002,-1.5064920E+002, 5.2134146E-001
 2.6700998E+001, 8.4652411E+003,-2.6918046E+003,-5.7373943E+003,-5.5620249E+001, 3.7022186E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4921024E+001,-1.5875871E+001, 5.2134146E-001
 2.7000172E+001, 7.8854744E+003,-2.5124315E+003,-5.3129800E+003,-5.6795264E+001, 3.8368098E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0479268E+001, 7.1044403E+000, 5.2134146E-001
 2.7301897E+001, 8.5827684E+003,-2.6905072E+003,-5.8461395E+003,-4.2992978E+001, 4.1336463E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0427819E-002, 7.2623755E+000, 5.2134146E-001
 2.7601072E+001, 9.7612562E+003,-3.1096434E+003,-6.5055021E+003,-7.4179529E+001, 4.4118440E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2167220E+001, 7.6342967E+001, 5.2134146E-001
 2.7900032E+001, 8.4545111E+003,-2.7117147E+003,-5.6745996E+003,-5.7856696E+001, 4.6229376E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1656071E+001, 1.4963024E+001, 5.2134146E-001
 2.8201862E+001, 1.1071996E+004,-3.4672381E+003,-7.4095967E+003,-5.3044229E+001, 5.5642295E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1117009E+002, 1.4768106E+002, 5.2134146E-001
 2.8501163E+001, 1.0355281E+004,-3.2349987E+003,-7.1035372E+003,-4.2279439E+001, 6.0265405E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8373296E+001,-1.9507660E+001, 5.2134146E-001
 2.8801748E+001, 7.4011820E+003,-2.3475702E+003,-5.2470555E+003,-1.6536083E+001, 5.1515431E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2454005E+002,-2.0482824E+002, 5.2134146E-001
 2.9100929E+001, 7.0283747E+003,-2.2153137E+003,-4.9030255E+003,-4.4190740E+001, 4.5631389E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6895237E+002,-1.2959213E+002, 5.2134146E-001
 2.9400089E+001, 8.7248954E+003,-2.6838371E+003,-5.9878185E+003,-5.6284163E+001, 4.5299870E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4933470E+000, 1.4856318E+000, 5.2134146E-001
 2.9701214E+001, 8.5066255E+003,-2.6191449E+003,-5.8278307E+003,-2.9293088E+001, 4.7842544E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7607881E+000, 3.5141130E+001, 5.2134146E-001
 3.0001699E+001, 7.9075410E+003,-2.4437917E+003,-5.4932068E+003,-4.3142127E+001, 4.7997741E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3638553E+001,-6.7799887E+001, 5.2134146E-001
 3.0301243E+001, 9.1482544E+003,-2.8255604E+003,-6.1341933E+003,-3.9375795E+001, 4.9503701E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3147761E+002, 1.5407518E+002, 5.2134146E-001
 3.0601948E+001, 8.9448871E+003,-2.7742890E+003,-6.1663499E+003,-5.7662686E+001, 4.9361802E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6329439E+001,-4.8478214E+001, 5.2134146E-001
 3.0901058E+001, 8.2441538E+003,-2.5926493E+003,-5.6069216E+003,-5.0678565E+001, 4.7849127E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6715385E+001,-1.3107721E+000, 5.2134146E-001
 3.1201103E+001, 8.9319147E+003,-2.8001986E+003,-6.0893871E+003,-2.8473960E+001, 4.7111068E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3062554E+001, 1.8566120E+001, 5.2134146E-001
