Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,
10,10.209961,9.433672,9.517693,9.084636,9.325,8.902768,9.099225,8.834738,13.683457,13.452793,13.296507,12.992281,12.487832,12.389129,11.815103,7.683468,12.658396,11.471611,11.625348,11.503673,11.694426,5.9085,5.425287,10.233507,14.306369,13.710666,13.562471,13.208542,13.184294,12.12258,11.151001,10.935774,27.084995,16.963834,15.88689,15.366754,14.631265,13.529018,13.17638,12.272734,9.296626,11.056648,13.175302,7.830609,9.40592,20.95064317,-0.0014832,-0.001875539,0.871418072,-0.333219149,1.192652918,,
11,10.12754,9.46593,9.473488,9.116907,9.319027,8.896794,9.169736,8.828764,13.639357,13.484989,13.328697,13.024493,12.481869,12.421355,11.847332,7.677492,12.614271,11.427453,11.619382,11.574103,11.612047,5.940815,5.45761,10.189312,14.300413,13.742829,13.556512,13.24073,13.140168,12.154793,11.183242,10.929806,30.362331,16.925777,15.848809,15.404849,14.821814,13.719748,13.328957,12.34908,9.411328,11.094866,13.327937,7.754084,9.444154,20.95064317,0.0009882,-0.001753445,0.886545112,-0.105517389,1.557095158,,
12,10.19802,9.459957,9.467515,9.149177,9.313054,8.890819,9.087278,8.822789,13.671539,13.517185,13.360886,13.056703,12.475905,12.377202,11.764976,7.70977,12.608308,11.421485,11.613416,11.568137,11.682494,5.97313,5.413326,10.221566,14.21817,13.698748,13.550553,13.272917,13.172373,12.22518,11.062646,10.962031,33.672865,16.855584,15.930897,15.601236,14.827746,13.878251,13.487457,12.507704,9.493743,11.100812,13.295718,7.913086,9.488338,20.95382757,-0.0014832,-0.001632149,0.962578392,-0.120644429,1.405227638,,
13,10.177706,9.554334,9.447199,9.128853,9.330972,8.908741,9.14344,8.764228,13.689415,13.496908,13.302467,13.036414,12.531952,12.395092,11.782872,7.7277,12.664358,11.439385,11.593106,11.547837,11.700391,5.914479,5.507872,10.201253,14.274182,13.754745,13.530273,13.25265,13.152089,12.357592,11.156968,10.941742,37.191608,17.083921,15.892818,15.639324,15.018269,14.107072,13.525595,12.58404,9.531974,11.100812,13.372031,7.913086,9.450105,20.95064317,-0.0014832,-0.003093287,0.354909272,0.046350131,0.995205238,,
14,10.171736,9.548363,9.479461,9.12288,9.286761,8.902768,9.137467,8.796496,13.645316,13.490949,13.296507,13.106796,12.487832,12.389129,11.929684,7.721724,12.658396,11.395226,11.663555,11.541871,11.65622,5.9085,5.540195,10.233507,14.268226,13.748788,13.562471,13.284838,13.146129,12.351629,11.227417,11.012161,42.71509,20.471987,15.898745,15.797594,15.100402,14.341792,13.684075,12.628147,9.270293,11.106757,13.530584,7.804256,9.570752,20.94743782,0.0009882,-0.000657791,0.552456472,-0.302865549,0.752177398,,
15,10.12754,9.542391,9.435255,9.078663,9.242547,8.858544,9.093252,8.75228,13.677499,13.523144,13.214244,13.139006,12.520027,12.344976,11.885526,7.754002,12.576106,11.427453,11.619382,11.574103,11.612047,5.90252,5.649119,10.342207,14.224126,13.704707,13.556512,13.278878,13.063834,12.422009,11.22145,11.082577,46.274747,21.33858,16.121276,15.982071,15.246863,14.640853,13.830667,12.851188,9.149633,11.177244,13.639098,7.798301,9.564802,20.95064317,-0.0014832,-0.000657791,7.50E-01,-0.333219149,0.585083318,,
16,10.13351,9.548363,9.479461,9.161123,9.24852,8.826267,9.060982,8.872979,13.683457,13.529104,13.258356,13.144966,12.564147,12.465506,11.853297,7.798232,12.658396,11.471611,11.663555,11.541871,11.65622,5.9085,5.655099,10.348177,14.230083,13.825029,13.562471,13.24669,13.146129,12.427972,11.227417,10.935774,49.719579,23.005862,16.578078,16.172449,15.361147,14.831442,14.097555,12.813026,8.958439,11.100812,13.867977,7.836563,9.679494,20.95064317,-0.0014832,-0.001875539,0.658743832,-0.712887949,0.281348278,,
17,10.171736,9.548363,9.517693,9.12288,9.286761,8.902768,9.175709,8.834738,13.683457,13.567257,13.258356,13.144966,12.602303,12.427318,11.853297,7.759978,12.620233,11.433419,11.663555,11.541871,11.65622,5.870204,5.616798,10.309955,14.34451,13.863148,13.562471,13.322984,13.146129,12.466142,11.38024,11.088544,52.355502,26.873023,18.301505,16.336584,15.487279,14.957646,14.261909,12.901227,8.740889,11.074485,14.184963,7.810209,9.653163,20.95382757,-0.0017586,-0.000657791,0.309428632,-0.879882509,-0.052740362,,
18,10.280439,9.504161,9.549953,9.15515,9.242547,8.858544,9.169736,8.867005,13.753779,13.523144,13.252396,13.139006,12.558184,12.459543,11.847332,7.754002,12.652434,11.38926,11.619382,11.535905,11.650254,5.90252,5.649119,10.303985,14.26227,13.78095,13.556512,13.278878,13.063834,12.498349,11.603484,11.006193,54.348656,29.66141,21.717547,17.173825,15.525368,15.033868,14.300028,13.015702,8.587909,11.074485,14.375629,7.848471,9.729621,20.95064317,-0.0014832,-0.001632149,0.203041752,-0.378799309,0.068773558,,
19,10.242215,9.427699,9.511721,9.078663,9.319027,8.820293,9.169736,8.828764,13.753779,13.484989,13.290547,13.139006,12.520027,12.344976,11.770942,7.715747,12.537941,11.465644,11.657589,11.535905,11.612047,5.940815,5.649119,10.342207,14.185982,13.78095,13.556512,13.35517,13.063834,12.460179,11.79447,11.120767,55.707286,33.936858,26.59017,20.701058,15.786034,15.066047,14.408446,13.086076,8.505463,11.030322,14.560338,7.880779,9.685443,20.95064317,-0.0014832,-0.001996835,0.020820632,-0.652180749,0.858464758,,
