Time,HF_CB_H1-0mAF,HF_CB_V1-0mAF,HF_OB_H1-0mAF,HF_OB_V1-0mAF
1046,-0.047629789,-0.032009867,-0.066875989,-0.0502866
1056,0.071928011,-0.055626267,0.100992611,-0.0873873
1066,0.047938077,-0.008080667,0.067308849,-0.0126945
1076,0.095635677,-0.079555467,0.134280049,-0.1249794
1086,0.048079211,-0.103641067,0.067507011,-0.1628172
1096,0.071802644,0.063550533,0.100816587,0.0998361
1106,-0.071729322,0.015692133,-0.100713637,0.0246519
1116,-5.76E-05,0.039621333,-8.08E-05,0.062244
1126,0.095651444,0.039777733,0.134302187,0.0624897
1136,-7.33E-05,-0.055782667,-0.000102951,-0.087633
1146,-0.071603956,-0.056095467,-0.100537613,-0.0881244
1156,0.071645744,-0.055626267,0.100596287,-0.0873873
1166,0.023948144,-0.055782667,0.033625087,-0.087633
1176,0.095808344,-0.008237067,0.134522487,-0.0129402
1186,0.143772444,-0.031853467,0.201867874,-0.0500409
1196,0.023948144,0.016004933,0.033625087,0.0251433
1206,0.048079211,0.016004933,0.067507011,0.0251433
1216,0.023807011,0.016004933,0.033426925,0.0251433
1226,0.024089277,0.015848533,0.033823249,0.0248976
